Region,EMF30 Sector,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
AFRI_EAST,CEMENT,1804.876516,1792.195625,1575.562619,1389.749644,1240.302278,925.5776341,715.1789269,705.8128006,696.1845099,695.4982155,687.7599549,694.3507433,699.3525177
AFRI_EAST,CUSM,92.66522848,91.58658561,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249
AFRI_EAST,End_Use_Industry_Bio_Trad,43.96712159,43.96712159,43.96712159,40.73254839,37.90229684,35.88068859,33.05043704,27.79425559,23.75103908,23.75103908,23.75103908,23.75103908,23.75103908
AFRI_EAST,End_Use_Industry_Coal,108.1417766,151.7389702,274.8902373,228.4769693,113.0733226,90.82722323,87.69607873,66.68115601,49.6284695,36.92833007,27.92103551,21.77479847,17.46776756
AFRI_EAST,End_Use_Industry_HLF,8.533975763,7.784182642,6.778904686,6.630555905,6.901899757,5.287105465,5.488088607,4.778597654,4.662250827,4.599943651,4.571168046,4.561657741,4.55199793
AFRI_EAST,End_Use_Industry_LLF,2.354760074,2.365612925,1.746876839,1.574695851,1.801029818,1.938032533,1.938032533,1.938032533,1.938032533,1.938032533,1.938032533,1.938032533,1.938032533
AFRI_EAST,End_Use_Industry_NatGas,1,1,1,1,1,1,1,1,1,1,1,1,1
AFRI_EAST,End_Use_Residential_Bio_Trad_Cook,6.885714286,6.885714286,6.885714286,6.885714286,6.885714286,6.885714286,6.885714286,6.885714286,6.885714286,6.885714286,6.885714286,6.885714286,6.885714286
AFRI_EAST,End_Use_Residential_Coal_Cook,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543
AFRI_EAST,End_Use_Residential_Coal_Heat,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923
AFRI_EAST,End_Use_Residential_HLF,4.243234253,3.293604,2.959627225,2.193317839,1.957438798,1.581748535,1.782875842,1.766291806,1.177719737,1.12218152,1.113459248,1.105828138,1.098306016
AFRI_EAST,End_Use_Residential_LLF,3402.884095,3083.951557,2240.02996,2246.143962,1630.163907,1208.821915,1494.539995,1338.712729,1145.372632,956.2035579,783.6697526,644.9411774,531.7471607
AFRI_EAST,End_Use_Services_Bio_Trad_Heat,9.863892098,9.863892098,9.863892098,9.863892098,9.705852819,9.468251386,8.67534242,7.880263397,7.083014319,7.083014319,7.083014319,7.083014319,7.083014319
AFRI_EAST,End_Use_Services_Coal_Heat,1.958929633,1.953390243,1.947850853,1.931232684,1.914614515,1.897996346,1.875838787,1.864760008,1.848141838,1.848141838,1.848141838,1.848141838,1.848141838
AFRI_EAST,End_Use_Transport_AGR_HLF,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682
AFRI_EAST,End_Use_Transport_HDT_HLF,25.65876878,25.66155803,25.60513241,25.58946207,22.60069871,25.70978322,24.81109946,25.07942246,25.26785646,25.47130077,25.77246156,25.86992399,25.9227142
AFRI_EAST,End_Use_Transport_LDT_HLF,1.217337753,11.55004435,38.39307985,41.11596529,33.61227373,42.1825842,33.98908385,34.81280328,36.43213085,41.26852767,50.22133289,55.48047459,61.40565982
AFRI_EAST,End_Use_Transport_LDT_LLF,4.730574002,4.172338201,3.798989029,3.493054792,3.604869824,3.267457501,3.053103284,2.732920421,2.438859782,2.368523145,2.304836422,2.256799001,2.207152309
AFRI_EAST,End_Use_Transport_MC_LLF,549.3729995,462.3236763,386.1555184,282.5612673,118.5007392,89.29655221,49.19781353,47.66780366,47.1997852,47.19960532,47.19966491,47.19956031,47.1996288
AFRI_EAST,End_Use_Transport_OFF_HLF,3.549060383,3.648686818,3.655664072,3.661002063,3.6826938,3.672271729,3.6783965,3.676351541,3.674209602,3.672899408,3.672007234,3.670751001,3.66935228
AFRI_EAST,End_Use_Transport_OFF_LLF,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952
AFRI_EAST,Losses_Coal,7.236855852,7.222523631,7.254853813,7.241124674,7.163475278,7.210252835,7.210252835,7.210252835,7.210252835,7.210252835,7.210252835,7.210252835,7.210252835
AFRI_EAST,Losses_Prod_Oil,5.45494963,5.45494963,11.48498533,7.241921458,6.970343007,7.242446601,8.353275874,8.13829883,8.026177732,7.726195483,7.451200843,7.120738132,6.769455658
AFRI_EAST,Power_Gen_Bio_Trad_New,,,514.2961069,514.2961069,514.2961069,514.2961069,514.2961069,514.2961069,514.2961069,514.2961069,514.2961069,514.2961069,514.2961069
AFRI_EAST,Power_Gen_Bio_Trad_Old,1138.380534,1138.380534,898.6501272,658.9197208,,658.9197208,658.9197208,658.9197208,658.9197208,658.9197208,658.9197208,658.9197208,658.9197208
AFRI_EAST,Power_Gen_Coal_New,,,,,229.1244372,221.8827079,224.6804854,199.1549154,177.7628577,173.4599005,168.2039597,165.0435118,162.4251733
AFRI_EAST,Power_Gen_Coal_Old,312.6021255,273.545952,300.5587876,186.6477996,168.3268762,166.7826774,166.1984464,165.8258347,165.6395288,165.6395288,165.6395288,165.6395288,165.6395288
AFRI_EAST,Power_Gen_HLF,18.7194799,18.52588537,18.27998646,17.05378352,22.4533371,18.78064254,13.62418293,12.19646229,10.82456314,9.328705337,8.197516825,7.612228341,7.036055536
AFRI_EAST,Power_Gen_LLF,1,1,1.265392493,1.35061082,1.231446597,1,1,1,1,1,1,1,1
AFRI_EAST,Power_Gen_NatGas,1,1,,1.164396505,1.117326231,1.185754098,1,1,1,1,1,1,1
AFRI_EAST,STEEL,223.7689328,212.0705041,199.2151168,164.1198307,152.421402,140.7229733,140.7229733,140.7229733,140.7229733,140.7229733,140.7229733,140.7229733,140.7229733
AFRI_EAST,Transformations_Coal,33.57141732,32.78882002,,,,,,,,,,,
AFRI_EAST,Transformations_HLF_Refinery,12.34267589,11.58156535,9.878852345,9.878852345,9.095180316,8.311508288,7.527836259,7.527836259,7.527836259,7.527836259,7.527836259,7.527836259,7.527836259
AFRI_EAST,Unattributed,7.032522462,7.909600462,7.89914394,7.897953022,6.775240329,6.196290595,6.394925535,6.328330161,6.160530613,5.62107621,5.161232915,4.76782593,4.433578992
AFRI_EAST,Unattributed,7.032522462,7.909600462,7.89914394,7.897953022,6.775240329,6.196290595,6.394925535,6.328330161,6.160530613,5.62107621,5.161232915,4.76782593,4.433578992
AFRI_EAST,Waste_Solid_Municipal,116.4101507,114.1705865,114.7791294,116.1183137,116.4246677,118.0361818,119.7414609,121.553889,123.436293,125.3440226,124.7822621,129.0232523,130.7891014
AFRI_EAST,Waste_Solid_Municipal,116.4101507,114.1705865,114.7791294,116.1183137,116.4246677,118.0361818,119.7414609,121.553889,123.436293,125.3440226,124.7822621,129.0232523,130.7891014
AFRI_NORT,CEMENT,1779.850872,1845.511877,1604.411076,1115.229664,768.3961687,568.4266991,442.8435019,422.6302383,397.2872468,388.2282554,329.9333475,330.1468949,329.639134
AFRI_NORT,CUSM,92.66522848,91.58658561,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249
AFRI_NORT,End_Use_Industry_Bio_Trad,43.96712159,43.96712159,43.96712159,38.74314316,37.90229684,35.88068859,33.05043036,27.79424957,23.75103346,23.751033,23.75103202,23.75103146,23.75103084
AFRI_NORT,End_Use_Industry_Coal,198.7276448,228.3916582,212.9526633,299.1091129,256.9431875,300.9868664,474.5020733,463.7441204,455.9146838,447.8434467,444.9453999,441.5144954,438.139507
AFRI_NORT,End_Use_Industry_HLF,7.692472768,7.419524179,6.857898807,7.108745315,6.934526006,5.997281271,2.173402508,1.636351062,2.273383855,2.700747896,2.838250117,2.649708465,2.459105032
AFRI_NORT,End_Use_Industry_LLF,1.647344044,1.5596476,1.0614526,1.256827562,1.173459486,1.048948295,2.5,2.5,2.5,2.5,2.5,2.5,2.5
AFRI_NORT,End_Use_Industry_NatGas,1,1,1,1,1,1,1,1,1,1,1,1,1
AFRI_NORT,End_Use_Residential_Bio_Trad_Cook,6.691518714,6.691518714,6.691518714,6.613840486,6.536162257,6.458484029,6.3808058,6.303127571,6.225449343,6.225449343,6.225449343,6.225449343,6.225449343
AFRI_NORT,End_Use_Residential_Coal_Cook,,,,,,,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543
AFRI_NORT,End_Use_Residential_Coal_Heat,,,,,,,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923
AFRI_NORT,End_Use_Residential_HLF,1.459146721,2.067952167,1.440399029,1.715074881,1.802649843,2.001524562,1.071309029,1.045329007,1.018408797,1.022619614,1.023186309,1.023961999,1.02473879
AFRI_NORT,End_Use_Residential_LLF,558.4551176,341.2330421,172.9856318,98.00341915,30.17511983,13.36461415,324.8474057,334.9819954,344.5978214,344.2903751,344.5291346,344.6412656,344.5898846
AFRI_NORT,End_Use_Residential_NatGas,1,1,1,1,1,1,1,1,1,1,1,1,1
AFRI_NORT,End_Use_Services_Bio_Trad_Heat,9.863892098,9.863892098,9.863892098,9.863892098,9.705852819,9.468251386,8.67534242,7.880263397,7.083014319,7.083014319,7.083014319,7.083014319,7.083014319
AFRI_NORT,End_Use_Transport_AGR_HLF,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682
AFRI_NORT,End_Use_Transport_HDT_HLF,25.3650566,25.38104585,25.51205858,25.47790769,24.95993038,25.59486328,20.86595843,21.11421078,21.42971192,21.35046667,21.30464371,21.08218339,20.90077122
AFRI_NORT,End_Use_Transport_HDT_LLF,5.167958656,5.167958656,5.167958656,5.167958656,5.167958656,5.167958656,5.167958656,5.167958656,5.167958656,5.167958656,5.167958656,5.167958656,5.167958656
AFRI_NORT,End_Use_Transport_LDT_HLF,1.217337753,13.9349176,21.13716329,28.41828017,46.05011104,48.2465647,52.27269838,53.46088431,52.8383093,50.57367327,49.38204268,49.82172323,49.55824105
AFRI_NORT,End_Use_Transport_LDT_LLF,4.69369857,4.220639614,3.813809472,3.238917925,3.404932676,3.192050981,2.830872848,2.570455282,2.336152486,2.315967857,2.287297949,2.254945641,2.215677903
AFRI_NORT,End_Use_Transport_MC_LLF,496.9220936,433.3570246,359.9854398,237.3722483,142.6618577,58.42177533,28.35840761,16.21234711,10.30042195,7.592487244,6.20263451,6.173783942,6.149466806
AFRI_NORT,End_Use_Transport_NatGas,87.95726426,87.95726426,87.95726426,73.0153249,66.31599194,61.46425859,62.3015036,56.02885074,52.12084292,51.34751827,48.81375,46.54647645,45.22677143
AFRI_NORT,End_Use_Transport_OFF_HLF,3.471634255,3.375499265,3.340572812,3.438590913,3.417888849,3.584797211,3.591315151,3.542034348,3.462474134,3.44943716,3.447453396,3.433766563,3.690518124
AFRI_NORT,End_Use_Transport_OFF_LLF,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952,1.82361952
AFRI_NORT,Losses_Coal,7.299468562,7.299468562,7.299468562,7.299468562,,,,,,,,,
AFRI_NORT,Losses_Prod_Oil,30.73822822,26.31728376,23.09464481,19.18251727,15.9788507,15.2726038,15.55925779,15.80386716,16.00739286,16.12501089,16.15734042,15.93969687,15.73043714
AFRI_NORT,Power_Gen_Bio_Trad_New,,,,,,,,514.2961069,514.2961069,514.2961069,514.2961069,514.2961069,514.2961069
AFRI_NORT,Power_Gen_Bio_Trad_Old,,,,,,,658.9197208,658.9197208,658.9197208,658.9197208,658.9197208,,
AFRI_NORT,Power_Gen_Coal_New,,,251.6183888,257.1496083,229.1244372,226.333071,202.7507723,175.0423899,163.1365896,159.1908184,155.9277995,156.0262362,155.5076734
AFRI_NORT,Power_Gen_Coal_Old,214.8887869,197.281768,209.2903292,175.6280548,168.3268762,166.7826774,164.8281225,164.8281225,,,,,
AFRI_NORT,Power_Gen_HLF,2.801866462,3.020045502,2.940434448,3.197145418,3.141546459,2.531806401,2.941650378,3.049784427,1.946135713,1.863541178,1.942798659,1.796378276,1.72991022
AFRI_NORT,Power_Gen_LLF,1,1,1,1,1,1,,,,,,,
AFRI_NORT,Power_Gen_NatGas,1,1,1.001678415,1.007980461,1.005814446,1.014069113,1,1,1,1,1,1,1
AFRI_NORT,STEEL,29.18280455,27.02104386,19.70663505,29.06211747,50.05044425,25.69012341,22.7483303,19.96222847,17.00468353,15.96434179,14.90716699,15.06075621,15.21668169
AFRI_NORT,Transformations_Coal,33.57141732,18.01403953,11.77791215,9.415617368,23.83911762,22.27392303,18.46126953,16.65527578,14.84928202,14.84928202,14.84928202,14.84928202,14.84928202
AFRI_NORT,Transformations_HLF_Refinery,12.34267589,11.58156535,9.878852345,9.878852345,9.095180316,8.311508288,7.527836259,7.527836259,7.527836259,7.527836259,7.527836259,7.527836259,7.527836259
AFRI_NORT,Unattributed,4.386416165,3.328391392,3.001930471,2.948548993,3.103955708,3.039999031,2.640624684,2.62192934,2.650763347,2.563257523,2.49944951,2.434268559,2.380417019
AFRI_NORT,Unattributed,4.386416165,3.328391392,3.001930471,2.948548993,3.103955708,3.039999031,2.640624684,2.62192934,2.650763347,2.563257523,2.49944951,2.434268559,2.380417019
AFRI_NORT,Waste_Solid_Municipal,134.4639918,133.6269009,136.5830875,136.7258923,134.9131274,135.3381023,135.8765082,136.5301861,137.2111914,138.0585966,138.8293832,140.1124437,141.0324383
AFRI_NORT,Waste_Solid_Municipal,134.4639918,133.6269009,136.5830875,136.7258923,134.9131274,135.3381023,135.8765082,136.5301861,137.2111914,138.0585966,138.8293832,140.1124437,141.0324383
AFRI_WEST,CEMENT,1806.560035,1794.448084,1577.600058,1391.525704,1241.148105,925.5776341,715.1789269,705.8128006,696.1845099,695.4982155,687.7599549,694.3507433,699.3525177
AFRI_WEST,CUSM,92.66522848,91.58658561,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249,81.78270249
AFRI_WEST,End_Use_Industry_Bio_Trad,43.96712159,43.96712159,43.96712159,40.73254839,37.90229684,35.88068859,33.05043704,27.79425559,23.75103908,23.75103908,23.75103908,23.75103908,23.75103908
AFRI_WEST,End_Use_Industry_Coal,10.07897074,24.978602,21.93068568,31.5562443,46.79549466,40.84991761,34.17049159,26.02269118,12.64038963,7.8576098,5.548239143,4.00157838,2.716831501
AFRI_WEST,End_Use_Industry_HLF,8.518739166,7.783565615,6.836779496,7.012589474,6.220850837,5.420734537,5.57578938,5.195869772,4.837833028,4.65678979,4.568004316,4.537902761,4.506918177
AFRI_WEST,End_Use_Industry_LLF,2.379090261,2.388275003,2.033920988,1.806832478,1.902650728,1.797337404,1.753093425,1.727869364,1.763037781,1.809786931,1.832836352,1.840669863,1.848742726
AFRI_WEST,End_Use_Industry_NatGas,1,1,1,1,1,1,1,1,1,1,1,1,1
AFRI_WEST,End_Use_Residential_Bio_Trad_Cook,6.885714286,6.885714286,6.885714286,6.821805532,6.804494214,6.792043429,6.78838999,6.789371054,6.788923607,6.788175845,6.787499973,6.787292967,6.788715884
AFRI_WEST,End_Use_Residential_Coal_Cook,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543,1.097173543
AFRI_WEST,End_Use_Residential_Coal_Heat,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923,47.00373923
AFRI_WEST,End_Use_Residential_HLF,2.259798092,1.848584409,1.311941515,1.292054888,1.250633027,1.161820899,1.061860825,1.034936762,1.005444527,1.000966602,0.997703041,0.99508846,0.992836899
AFRI_WEST,End_Use_Residential_LLF,2862.170077,2689.288106,1966.900069,1758.430139,1279.347992,880.6338379,1241.975726,1120.281276,962.5968978,801.9716868,650.3402901,524.6806326,421.3512143
AFRI_WEST,End_Use_Residential_NatGas,,,1,1,1,1,1,1,1,1,1,1,1
AFRI_WEST,End_Use_Services_Bio_Trad_Heat,9.863892098,9.863892098,9.863892098,9.863892098,9.705852819,9.468251386,8.67534242,7.880263397,7.083014319,7.083014319,7.083014319,7.083014319,7.083014319
AFRI_WEST,End_Use_Services_Coal_Heat,1.958929633,1.953390243,1.947850853,1.931232684,1.914614515,1.897996346,1.875838787,1.864760008,1.848141838,1.848141838,1.848141838,1.848141838,1.848141838
AFRI_WEST,End_Use_Transport_AGR_HLF,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682,4.346549682
AFRI_WEST,End_Use_Transport_HDT_HLF,25.66674728,25.66682018,25.66558416,25.66573565,21.5322997,25.73601236,24.80971839,25.0761655,25.26113623,25.4606712,25.75646345,25.8452404,25.88267431
AFRI_WEST,End_Use_Transport_LDT_HLF,1.217337753,7.876180892,32.96073492,32.16534905,11.68814784,22.41167399,16.3905079,16.79306716,17.48499085,20.04438982,25.91618242,29.89171278,34.99753636
AFRI_WEST,End_Use_Transport_LDT_LLF,4.666674945,4.149873915,3.806579844,3.530799661,3.796370881,3.363139282,3.145724188,2.805532985,2.49541512,2.428212933,2.369268507,2.327615043,2.283313066
AFRI_WEST,End_Use_Transport_MC_LLF,539.1837485,453.7510738,378.9974834,285.5554954,115.9164802,90.74881981,50.85203285,49.26980635,48.78581522,48.7856292,48.78569082,48.78558265,48.78565348
AFRI_WEST,End_Use_Transport_NatGas,,,,,4.034937127,3.763110039,3.652806898,3.554602798,3.490442416,3.591068075,3.820958283,4.054698858,4.291325165
AFRI_WEST,End_Use_Transport_OFF_HLF,3.35904443,3.511996429,3.399758377,3.457764528,3.50768706,3.449787715,3.500804481,3.515384661,3.515876479,3.517981819,3.520820687,3.522755883,3.524268943
AFRI_WEST,End_Use_Transport_OFF_LLF,1.82361952,1.82361952,1.914765143,1.8770983,2.120018537,2.197110908,2.170921161,2.15446202,2.140796582,2.124562961,2.1072196,2.091308716,2.076025052
