ISO2,PLANT_FUEL,NET_ELECTRICITY_GENERATION_MWH,FUEL_INPUT_LHV_MJ,NET_ELECTRICAL_EFFICIENCY,CHP_PLANT,PLANT_EMISSION_CO2_KG,PLANT_EMISSION_CH4_KG,PLANT_EMISSION_SO2_KG,PLANT_EMISSION_NOX_KG,PLANT_EMISSION_PM_2.5_KG,PLANT_EMISSION_PM_10_TO_2.5_KG,PLANT_EMISSION_PM_GR_10_KG,PLANT_EMISSION_HG_0_KG,PLANT_EMISSION_HG_2P_KG,PLANT_EMISSION_HG_P_KG
US,Bituminous coal,1099328.784,12469936134,0.317369999,FALSE,1099242211,NA,7089865.419,1571323.586,55582.90448,56339.28592,48447.65852,34.61030166,13.33312115,0.272180869
US,Bituminous coal,1099328.784,12469936134,0.317369999,FALSE,1099242211,NA,7089865.419,1571323.586,55582.90448,56339.28592,48447.65852,34.61030166,13.33312115,0.272180869
US,Bituminous coal,1099328.784,12469936134,0.317369999,FALSE,1099242211,NA,7089865.419,1571323.586,55582.90448,56339.28592,48447.65852,34.61030166,13.33312115,0.272180869
US,Bituminous coal,989395.9054,11222942521,0.317369999,FALSE,989317989.6,NA,6380878.877,1414191.227,50024.61403,50705.35733,43602.89267,31.14927149,11.99980904,0.244962782
US,Bituminous coal,3847650.743,43644776469,0.317369999,FALSE,3847347737,NA,24814528.97,5499632.549,89560.30302,36842.63249,12651.35837,154.5429213,14.19281227,0.018879264
US,Coal blend,341453.6377,3955834522,0.310739261,FALSE,348714849,NA,441019.3616,108546.031,43655.70924,44249.78341,38051.57203,0.833822865,0.735479334,0.00065217
US,Coal blend,341453.6377,3955834522,0.310739261,FALSE,348714849,NA,441019.3616,108546.031,43655.70924,44249.78341,38051.57203,0.833822865,0.735479334,0.00065217
US,Coal blend,341453.6377,3955834522,0.310739261,FALSE,348714849,NA,441019.3616,108546.031,43655.70924,44249.78341,38051.57203,0.833822865,0.735479334,0.00065217
US,Coal blend,341453.6377,3955834522,0.310739261,FALSE,348714849,NA,441019.3616,108546.031,43655.70924,44249.78341,38051.57203,0.833822865,0.735479334,0.00065217
US,Coal blend,341453.6377,3955834522,0.310739261,FALSE,348714849,NA,441019.3616,108546.031,43655.70924,44249.78341,38051.57203,0.833822865,0.735479334,0.00065217
US,Bituminous coal,1396414.237,16177843883,0.310739261,FALSE,1426109802,NA,1803599.807,443911.5776,82192.05616,33811.53945,11610.51407,5.304943898,1.115502041,6.45E-05
US,Bituminous coal,1335700.574,15474459366,0.310739261,FALSE,1364105028,NA,1725182.425,424611.0742,78618.4885,32341.47252,11105.70911,5.074294164,1.067001953,6.17E-05
US,Subbituminous coal,322761.9872,3330309121,0.34889949,FALSE,300052907.4,NA,358194.9522,198949.2044,35327.20701,35807.94554,30792.2099,1.72347842,0.914557047,0.008978369
US,Subbituminous coal,537497.5133,5545984168,0.34889949,FALSE,499679943.7,NA,596504.2469,331311.3281,58830.61412,59631.19093,51278.45567,2.870119164,1.52301745,0.014951733
US,Subbituminous coal,4781488.296,49336150832,0.34889949,FALSE,4445069499,NA,5306402.363,2947290.356,523347.3381,530469.136,456164.5952,25.53210173,13.5485094,0.133008121
US,Subbituminous coal,5862411.604,60489288112,0.34889949,FALSE,5449940562,NA,6505989.948,3613567.181,58408.34894,64394.97177,51785.84053,42.67557717,5.39855157,0.004285827
