Origin Label,Country,Metal,TransportMode Label,total_work_in_ton_km,total_kg,n_years,overall_kg,Distance (km),Fraction,Weighted Distance (km)
Afghanistan,AF,aluminium_cast_alloy,Air,278.655,129.549,5,9790879.873,2150.962184,1.32E-05,0.023717225
Afghanistan,AF,aluminium_cast_alloy,Railway,202384.836,38010.323,5,9790879.873,5324.470302,0.003882217,17.2256255
Afghanistan,AF,aluminium_cast_alloy,Road,12289042.28,3188327.389,5,9790879.873,3854.385318,0.325642581,1045.959985
Afghanistan,AF,aluminium_cast_alloy,Sea,58771011.93,6564412.612,5,9790879.873,8952.973465,0.67046197,5002.190192
Afghanistan,AF,aluminium_oxide,Air,14.482,6.149,1,3564.743,2355.179704,0.001724949,0.67709416
Afghanistan,AF,aluminium_oxide,Railway,1905.774,348.79,1,3564.743,5463.958256,0.097844361,89.1029171
Afghanistan,AF,aluminium_oxide,Road,3266.341,933.088,1,3564.743,3500.571222,0.261754634,152.7151233
Afghanistan,AF,aluminium_oxide,Sea,7147.738,2276.716,1,3564.743,3139.494781,0.638676056,334.1866908
Afghanistan,AF,bentonite,Air,0.44,0.442,2,81028.532,995.4751131,5.45E-06,0.001810062
Afghanistan,AF,bentonite,Railway,23507.503,6477.938,3,81028.532,3628.855818,0.079946382,145.0569473
Afghanistan,AF,bentonite,Road,155072.034,70699.027,3,81028.532,2193.411148,0.872520151,956.8977135
Afghanistan,AF,bentonite,Sea,45628.062,3851.125,3,81028.532,11847.9826,0.047528011,281.5555266
Afghanistan,AF,boron_tellurium,Air,1176.88,246.127,2,50098.892,4781.596493,0.004912823,7.830379429
Afghanistan,AF,boron_tellurium,Railway,31600.535,4232.672,2,50098.892,7465.859627,0.08448634,210.2543838
Afghanistan,AF,boron_tellurium,Road,123695.836,21667.785,2,50098.892,5708.743926,0.432500284,823.0111223
Afghanistan,AF,boron_tellurium,Sea,129415.948,23952.308,2,50098.892,5403.067963,0.478100554,861.0699281
Afghanistan,AF,chromite,Air,101121.766,82510.968,5,170138344.7,1225.555444,0.000484964,0.495291867
Afghanistan,AF,chromite,Railway,8050012.907,9355721.151,6,170138344.7,860.4374561,0.054988904,47.31451292
Afghanistan,AF,chromite,Road,112688950.4,106603657.1,6,170138344.7,1057.083344,0.626570438,662.3371739
Afghanistan,AF,chromite,Sea,161689131.5,54096455.39,6,170138344.7,2988.904361,0.317955694,950.3391595
Afghanistan,AF,copper_anode,Air,5593.601,5889.806,1,76096.124,949.7088699,0.077399553,12.2511737
Afghanistan,AF,copper_anode,Railway,24770.252,39845.065,1,76096.124,621.6642387,0.523614908,54.25211057
