powertrain,euro_class,type,component,value
BEV,1,diurnal,Methane,0
ICEV-g,4,diurnal,Methane,0
ICEV-g,5,diurnal,Methane,0
ICEV-g,6,diurnal,Methane,0
ICEV-p,1,diurnal,Hydrocarbon,1.172277331
ICEV-p,2,diurnal,Hydrocarbon,1.115409255
ICEV-p,3,diurnal,Hydrocarbon,1.210870743
ICEV-p,4,diurnal,Hydrocarbon,1.154002786
ICEV-p,5,diurnal,Hydrocarbon,1.117444754
ICEV-p,6,diurnal,Hydrocarbon,1.080886841
ICEV-p,6.1,diurnal,Hydrocarbon,1.036204815
ICEV-p,6.3,diurnal,Hydrocarbon,0.987460792
ICEV-p,6.2,diurnal,Hydrocarbon,1.011832833
ICEV-p,7,diurnal,Hydrocarbon,0.987460792
ICEV-g,2,diurnal,Hydrocarbon,1.115409255
ICEV-g,3,diurnal,Hydrocarbon,1.210870743
ICEV-g,4,diurnal,Hydrocarbon,1.154002786
ICEV-g,5,diurnal,Hydrocarbon,1.117444754
ICEV-g,6,diurnal,Hydrocarbon,1.080886841
ICEV-p,1,diurnal,Methane,0
ICEV-p,2,diurnal,Methane,0
ICEV-p,3,diurnal,Methane,0
ICEV-p,4,diurnal,Methane,0
ICEV-p,5,diurnal,Methane,0
ICEV-p,6,diurnal,Methane,0
ICEV-p,6.1,diurnal,Methane,0
ICEV-p,6.3,diurnal,Methane,0
ICEV-p,6.2,diurnal,Methane,0
ICEV-p,7,diurnal,Methane,0
ICEV-g,2,diurnal,Methane,0
ICEV-g,3,diurnal,Methane,0
ICEV-p,1,diurnal,Non-methane hydrocarbon,1.172277331
ICEV-p,2,diurnal,Non-methane hydrocarbon,1.115409255
ICEV-p,3,diurnal,Non-methane hydrocarbon,1.210870743
ICEV-p,4,diurnal,Non-methane hydrocarbon,1.154002786
ICEV-p,5,diurnal,Non-methane hydrocarbon,1.117444754
ICEV-p,6,diurnal,Non-methane hydrocarbon,1.080886841
ICEV-p,6.1,diurnal,Non-methane hydrocarbon,1.036204815
ICEV-p,6.3,diurnal,Non-methane hydrocarbon,0.987460792
ICEV-p,6.2,diurnal,Non-methane hydrocarbon,1.011832833
