dataset name,reference product,dataset location,exchange name,exchange categories,exchange unit,exchange amount,exchange type
"electricity production, at hard coal-fired IGCC power plant","electricity, high voltage",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,9.600000083764826e-08,biosphere
"electricity production, at hard coal-fired IGCC power plant","electricity, high voltage",RER,Strontium II,"('air', 'non-urban air or from high stacks')",kilogram,4.274999909625876e-09,biosphere
"electricity production, at hard coal-fired IGCC power plant","electricity, high voltage",RER,"Xylenes, unspecified","('air', 'non-urban air or from high stacks')",kilogram,5.512500138138421e-06,biosphere
"electricity production, at hard coal-fired power plant, oxy, pipeline 200km, storage 1000m","electricity, high voltage",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,1.2527999615485896e-07,biosphere
"electricity production, at hard coal-fired power plant, oxy, pipeline 200km, storage 1000m","electricity, high voltage",RER,Strontium II,"('air', 'non-urban air or from high stacks')",kilogram,5.590619966966415e-09,biosphere
"electricity production, at hard coal-fired power plant, oxy, pipeline 200km, storage 1000m","electricity, high voltage",RER,"Xylenes, unspecified","('air', 'non-urban air or from high stacks')",kilogram,7.2192601692222524e-06,biosphere
"electricity production, at hard coal-fired power plant, post, pipeline 200km, storage 1000m","electricity, high voltage",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,1.2527999615485896e-07,biosphere
"electricity production, at hard coal-fired power plant, post, pipeline 200km, storage 1000m","electricity, high voltage",RER,Strontium II,"('air', 'non-urban air or from high stacks')",kilogram,5.590619966966415e-09,biosphere
"electricity production, at hard coal-fired power plant, post, pipeline 200km, storage 1000m","electricity, high voltage",RER,"Xylenes, unspecified","('air', 'non-urban air or from high stacks')",kilogram,7.2192601692222524e-06,biosphere
"electricity production, at hard coal-fired IGCC power plant, pre, pipeline 200km, storage 1000m","electricity, high voltage",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,9.600000083764826e-08,biosphere
"electricity production, at hard coal-fired IGCC power plant, pre, pipeline 200km, storage 1000m","electricity, high voltage",RER,Strontium II,"('air', 'non-urban air or from high stacks')",kilogram,4.274999909625876e-09,biosphere
"electricity production, at hard coal-fired IGCC power plant, pre, pipeline 200km, storage 1000m","electricity, high voltage",RER,"Xylenes, unspecified","('air', 'non-urban air or from high stacks')",kilogram,5.512500138138421e-06,biosphere
"electricity production, at lignite-fired IGCC power plant","electricity, high voltage",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,9.600000083764826e-08,biosphere
"electricity production, at lignite-fired IGCC power plant","electricity, high voltage",RER,Strontium II,"('air', 'non-urban air or from high stacks')",kilogram,2.760000006318819e-09,biosphere
"electricity production, at lignite-fired IGCC power plant","electricity, high voltage",RER,"Xylenes, unspecified","('air', 'non-urban air or from high stacks')",kilogram,5.544000032386975e-06,biosphere
"electricity production, at lignite-fired power plant, pulverised","electricity, high voltage",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,1.3391999686973577e-07,biosphere
"electricity production, at lignite-fired power plant, pulverised","electricity, high voltage",RER,Strontium II,"('air', 'non-urban air or from high stacks')",kilogram,3.833460215929563e-09,biosphere
"electricity production, at lignite-fired power plant, pulverised","electricity, high voltage",RER,"Xylenes, unspecified","('air', 'non-urban air or from high stacks')",kilogram,7.717139851592947e-06,biosphere
"electricity production, at lignite-fired power plant, oxy, pipeline 200km, storage 1000m","electricity, high voltage",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,1.3391999686973577e-07,biosphere
"electricity production, at lignite-fired power plant, oxy, pipeline 200km, storage 1000m","electricity, high voltage",RER,Strontium II,"('air', 'non-urban air or from high stacks')",kilogram,3.833460215929563e-09,biosphere
"electricity production, at lignite-fired power plant, oxy, pipeline 200km, storage 1000m","electricity, high voltage",RER,"Xylenes, unspecified","('air', 'non-urban air or from high stacks')",kilogram,7.717139851592947e-06,biosphere
"electricity production, at lignite-fired power plant, post, pipeline 200km, storage 1000m","electricity, high voltage",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,1.3391999686973577e-07,biosphere
"electricity production, at lignite-fired power plant, post, pipeline 200km, storage 1000m","electricity, high voltage",RER,Strontium II,"('air', 'non-urban air or from high stacks')",kilogram,3.833460215929563e-09,biosphere
"electricity production, at lignite-fired power plant, post, pipeline 200km, storage 1000m","electricity, high voltage",RER,"Xylenes, unspecified","('air', 'non-urban air or from high stacks')",kilogram,7.717139851592947e-06,biosphere
"electricity production, at lignite-fired IGCC power plant, pre, pipeline 200km, storage 1000m","electricity, high voltage",RER,Propylene,"('air', 'non-urban air or from high stacks')",kilogram,9.600000083764826e-08,biosphere
"electricity production, at lignite-fired IGCC power plant, pre, pipeline 200km, storage 1000m","electricity, high voltage",RER,Strontium II,"('air', 'non-urban air or from high stacks')",kilogram,2.760000006318819e-09,biosphere
