market,substage,process,process key,contribution type,score,share of market (%),physical amount,physical unit,method,impact category,unit
Generic,Transport,Pipeline distribution,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",Process excluding leakage,0.011412238624069267,1.9354799086595873,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Conversion,Compression (pipeline),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '26b9a7ca463c4f8b96495542403b5cc8')",Process excluding leakage,5.483945874737163e-06,0.0009300600355783431,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Conversion,Compression (pipeline),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13f887da454449da9d91f12bd7f18f05')",Process excluding leakage,0.023555667848098063,3.994967451775542,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Transport,Hydrogen leakage — Pipeline distribution,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",Hydrogen leakage,0.07605783175677061,12.89916992718388,0.006914348341524601,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Transport,Gaseous H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '40a5fc7722ba48529ca9fe3d9ed28e86')",Process excluding leakage,0.015505872613264304,2.5094005233192496,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Transport,Hydrogen leakage — Gaseous H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '40a5fc7722ba48529ca9fe3d9ed28e86')",Hydrogen leakage,0.0021999999508261685,0.35603807445076735,0.00019999999552965168,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Transport,Liquid H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",Process excluding leakage,0.00791953700949164,1.281662168375105,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Transport,Hydrogen leakage — Liquid H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",Hydrogen leakage,0.0035749998688697823,0.5785618626928394,0.0003249999880790711,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Conversion,Compression (lorry),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '140fec13868a4f0ab927078173d067ae')",Process excluding leakage,0.014848657923077421,2.403039860580588,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Conversion,Hydrogen leakage — Compression (lorry),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '140fec13868a4f0ab927078173d067ae')",Hydrogen leakage,0.026400000229477888,4.272457026043729,0.002400000020861626,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Conversion,Liquefaction,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",Process excluding leakage,0.03322004487818195,5.376182307256118,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Conversion,Hydrogen leakage — Liquefaction,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",Hydrogen leakage,0.03564000092446805,5.767817084634927,0.0032400000840425497,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Transport,Pipeline distribution,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",Process excluding leakage,0.009129790899255422,1.608979866428328,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Conversion,Compression (pipeline),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '26b9a7ca463c4f8b96495542403b5cc8')",Process excluding leakage,4.38715669978973e-06,0.0007731663165914902,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Conversion,Compression (pipeline),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13f887da454449da9d91f12bd7f18f05')",Process excluding leakage,0.01884453427847845,3.3210482672459762,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Transport,Hydrogen leakage — Pipeline distribution,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",Hydrogen leakage,0.06084626540541649,10.723182717432646,0.005531478673219681,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Transport,Liquid H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",Process excluding leakage,0.007919537009491637,1.2225623004780137,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Transport,Hydrogen leakage — Liquid H2 truck,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",Hydrogen leakage,0.003574999868869782,0.5518832803806286,0.00032499998807907106,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Transport,Pipeline distribution,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",Process excluding leakage,0.009129790899255422,1.4093927651704259,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Steel,Conversion,Compression (pipeline),"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '26b9a7ca463c4f8b96495542403b5cc8')",Process excluding leakage,4.38715669978973e-06,0.0006772583272259695,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
