market,method,impact category,unit,total score,Layer 1 reconstructed score,Layer 1 difference,Layer 2 reconstructed score,Layer 2 difference
Generic,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,0.018245440192061084,0.01824544014456002,-4.750106558093492e-11,0.018245440278842832,8.678174845400122e-11
Transport,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,0.019085847945418205,0.01908584788266754,-6.275066577465793e-11,0.019085848016950353,7.15321482602782e-11
Chemicals,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,0.018044476214448164,0.01804447615496872,-5.947944567430419e-11,0.01804447628925153,7.4803364891185e-11
Steel,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,0.019196698153048503,0.019196698080585297,-7.246320557485753e-11,0.01919669821486811,6.181960846007861e-11
Cement,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,0.019196698153048503,0.019196698080585297,-7.246320557485753e-11,0.01919669821486811,6.181960846007861e-11
Other end uses,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,0.01939987192834374,0.01939987187774232,-5.060142235779885e-11,0.01939987201202513,8.368138820769033e-11
Generic,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,0.5896335360036256,0.5896335360059546,2.3290258610586534e-12,0.5896335400578857,4.054260149821687e-09
Transport,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,0.6179114282145076,0.6179114272287991,-9.857085148112787e-10,0.6179114312807302,3.0662226091493494e-09
Chemicals,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,0.5674272928922389,0.567427291570992,-1.3212468896739438e-09,0.5674272956229232,2.7306842342866844e-09
Steel,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,0.6477818763424286,0.6477818742520034,-2.090425166301202e-09,0.6477818783039346,1.9615060686817287e-09
Cement,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,0.6477818763424286,0.6477818742520034,-2.090425166301202e-09,0.6477818783039346,1.9615060686817287e-09
Other end uses,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,0.6529844444129502,0.6529844441187643,-2.941858978644518e-10,0.6529844481706955,3.757745226096176e-09
Generic,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,25.508016736580974,25.508016667664354,-6.891661996633047e-08,25.508016861395895,1.2481492106530823e-07
Transport,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,26.737044652369928,26.737044562489253,-8.988067534687616e-08,26.737044756220794,1.0385086568476254e-07
Chemicals,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,25.213693476352994,25.213693389893912,-8.645908167181915e-08,25.21369358362545,1.0727245580710587e-07
Steel,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,26.877369747832898,26.877369643151184,-1.0468171396382786e-07,26.87736983688272,8.904982351509716e-08
Cement,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,26.877369747832898,26.877369643151184,-1.0468171396382786e-07,26.87736983688272,8.904982351509716e-08
Other end uses,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,27.175856373104835,27.175856299316035,-7.378880084729644e-08,27.175856493047576,1.1994274018434226e-07
Generic,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",13.611852624512759,13.611852588085945,-3.642681356552657e-08,13.611852707816182,8.330342282647507e-08
Transport,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",14.333749222498405,14.333749173560756,-4.893764860014471e-08,14.333749293290992,7.079258779185693e-08
Chemicals,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",13.435685747396297,13.43568570046944,-4.6926857066864613e-08,13.435685820199676,7.280337932513703e-08
Steel,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",14.415889086015445,14.415889028378285,-5.7637160821855105e-08,14.415889148108521,6.209307557014654e-08
Cement,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",14.415889086015445,14.415889028378285,-5.7637160821855105e-08,14.415889148108521,6.209307557014654e-08
Other end uses,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",14.591229473129417,14.591229433820892,-3.930852443545518e-08,14.591229553551129,8.042171195654646e-08
Generic,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,0.0009393775831888655,0.0009393775798148499,-3.3740155851516573e-12,0.0009393775879319999,4.7431343791828895e-12
Transport,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,0.0009787871545426634,0.000978787149947236,-4.5954275541132406e-12,0.0009787871580643859,3.5217224102213063e-12
Chemicals,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,0.0009274769765831158,0.0009274769724997677,-4.083348134446829e-12,0.0009274769806169176,4.033801829887718e-12
Steel,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,0.000992987029027244,0.0009929870240569308,-4.970313223495726e-12,0.0009929870321740808,3.146836740838821e-12
Cement,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,0.000992987029027244,0.0009929870240569308,-4.970313223495726e-12,0.0009929870321740808,3.146836740838821e-12
Other end uses,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,0.0010019519278972047,0.0010019519244581715,-3.4390331294514853e-12,0.0010019519325753215,4.6781168348830615e-12
