market,market name,location,impact category,indicator,method,unit,score per kg H2
Generic,"market for hydrogen, gaseous, low pressure",RER,acidification,accumulated exceedance (AE),"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mol H+-Eq,0.018245440192061084
Generic,"market for hydrogen, gaseous, low pressure",RER,climate change,global warming potential (GWP100),"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",kg CO2-Eq,0.4909472085536455
Generic,"market for hydrogen, gaseous, low pressure",RER,climate change: biogenic,global warming potential (GWP100),"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",kg CO2-Eq,0.005859813984991316
Generic,"market for hydrogen, gaseous, low pressure",RER,climate change: fossil,global warming potential (GWP100),"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",kg CO2-Eq,0.4676867903182089
Generic,"market for hydrogen, gaseous, low pressure",RER,climate change: land use and land use change,global warming potential (GWP100),"('EF v3.1', 'climate change: land use and land use change', 'global warming potential (GWP100)')",kg CO2-Eq,0.017400604250445307
Generic,"market for hydrogen, gaseous, low pressure",RER,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,25.508016736580974
Generic,"market for hydrogen, gaseous, low pressure",RER,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, inorganics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,24.910507173807627
Generic,"market for hydrogen, gaseous, low pressure",RER,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, organics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,0.5975095627733503
Generic,"market for hydrogen, gaseous, low pressure",RER,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')","MJ, net calorific value",13.611852624512759
Generic,"market for hydrogen, gaseous, low pressure",RER,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",kg P-Eq,0.0009393775831888655
Generic,"market for hydrogen, gaseous, low pressure",RER,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",kg N-Eq,0.002121623679998039
Generic,"market for hydrogen, gaseous, low pressure",RER,eutrophication: terrestrial,accumulated exceedance (AE),"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')",mol N-Eq,0.02384908227445066
Generic,"market for hydrogen, gaseous, low pressure",RER,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,2.812860538487097e-09
Generic,"market for hydrogen, gaseous, low pressure",RER,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.500926302917644e-09
Generic,"market for hydrogen, gaseous, low pressure",RER,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,1.3119342355694528e-09
Generic,"market for hydrogen, gaseous, low pressure",RER,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,1.4986465997383985e-07
Generic,"market for hydrogen, gaseous, low pressure",RER,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.4192597490916682e-07
Generic,"market for hydrogen, gaseous, low pressure",RER,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,7.938685064673061e-09
Generic,"market for hydrogen, gaseous, low pressure",RER,ionising radiation: human health,human exposure efficiency relative to u235,"('EF v3.1', 'ionising radiation: human health', 'human exposure efficiency relative to u235')",kBq U235-Eq,0.533477154348011
Generic,"market for hydrogen, gaseous, low pressure",RER,land use,soil quality index,"('EF v3.1', 'land use', 'soil quality index')",dimensionless,119.04601613342228
Generic,"market for hydrogen, gaseous, low pressure",RER,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",kg Sb-Eq,0.000110249338607042
Generic,"market for hydrogen, gaseous, low pressure",RER,ozone depletion,ozone depletion potential (ODP),"('EF v3.1', 'ozone depletion', 'ozone depletion potential (ODP)')",kg CFC-11-Eq,1.2264534148455125e-07
Generic,"market for hydrogen, gaseous, low pressure",RER,particulate matter formation,impact on human health,"('EF v3.1', 'particulate matter formation', 'impact on human health')",disease incidence,1.2663107539656605e-07
Generic,"market for hydrogen, gaseous, low pressure",RER,photochemical oxidant formation: human health,tropospheric ozone concentration increase,"('EF v3.1', 'photochemical oxidant formation: human health', 'tropospheric ozone concentration increase')",kg NMVOC-Eq,0.006670176104270166
Generic,"market for hydrogen, gaseous, low pressure",RER,water use,user deprivation potential (deprivation-weighted water consumption),"('EF v3.1', 'water use', 'user deprivation potential (deprivation-weighted water consumption)')",m3 world Eq deprived,1.9445338425539387
Generic,"market for hydrogen, gaseous, low pressure",RER,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,0.5896335360036256
Generic,"market for hydrogen, gaseous, low pressure",RER,cumulative energy demand: non-renewable resources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: non-renewable', 'energy content (HHV)')",MJ-Eq,13.920361680161008
Generic,"market for hydrogen, gaseous, low pressure",RER,cumulative energy demand: renewable sources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: renewable', 'energy content (HHV)')",MJ-Eq,200.36012095470636
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,acidification,accumulated exceedance (AE),"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mol H+-Eq,0.019085847945418205
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,climate change,global warming potential (GWP100),"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",kg CO2-Eq,0.5266180148842581
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,climate change: biogenic,global warming potential (GWP100),"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",kg CO2-Eq,0.006121699102564889
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,climate change: fossil,global warming potential (GWP100),"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",kg CO2-Eq,0.5025620836495875
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,climate change: land use and land use change,global warming potential (GWP100),"('EF v3.1', 'climate change: land use and land use change', 'global warming potential (GWP100)')",kg CO2-Eq,0.0179342321321058
