market,market location,provider,provider product,provider unit,provider location,provider key,demand amount,stage,substage,component,classification rule
Generic,RER,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity","hydrogen, gaseous, 30 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '37b1d07e81ff4ef19e28d81f237f7f87')",0.662198480037262,Production,Production technology,PEM electrolysis,hydrogen production activity
Generic,RER,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'efaf3da7aa5f44ecb0af34ffafd2d7c4')",3.6337398612638123e-06,Production,Production technology,Biomass gasification,hydrogen production activity
Generic,RER,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'b8d42f7c276b40d0bedc718c17ebcd48')",0.3331903040787942,Production,Production technology,Biomass gasification with CCS,hydrogen production activity
Generic,RER,"hydrogen production, coal gasification, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '6b97ee1475fc4763b6623664477886be')",1.0944999582119917e-06,Production,Production technology,Coal gasification with CCS,hydrogen production activity
Generic,RER,"hydrogen production, steam methane reforming, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '45811ec5a21e4cc98066ee5a481ca94e')",0.004606487644124302,Production,Production technology,Steam methane reforming with CCS,hydrogen production activity
Generic,RER,"hydrogen supply, distributed by pipeline","hydrogen, gaseous, from pipeline",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",1.0,Distribution,Transport,Pipeline distribution,exact transport activity
Generic,RER,compressor assembly for transmission hydrogen pipeline,"compressor, for hydrogen transmission",unit,RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '26b9a7ca463c4f8b96495542403b5cc8')",3.227031142305492e-11,Distribution,Conversion,Compression (pipeline),pipeline compression input
Generic,RER,"market group for electricity, low voltage","electricity, low voltage",kilowatt hour,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13f887da454449da9d91f12bd7f18f05')",1.8165538311004639,Distribution,Conversion,Compression (pipeline),pipeline compression input
Transport,EUR,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity","hydrogen, gaseous, 30 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '37b1d07e81ff4ef19e28d81f237f7f87')",0.662198480037262,Production,Production technology,PEM electrolysis,hydrogen production activity
Transport,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'efaf3da7aa5f44ecb0af34ffafd2d7c4')",3.6337398612638123e-06,Production,Production technology,Biomass gasification,hydrogen production activity
Transport,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'b8d42f7c276b40d0bedc718c17ebcd48')",0.3331903040787942,Production,Production technology,Biomass gasification with CCS,hydrogen production activity
Transport,EUR,"hydrogen production, coal gasification, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '6b97ee1475fc4763b6623664477886be')",1.0944999582119917e-06,Production,Production technology,Coal gasification with CCS,hydrogen production activity
Transport,EUR,"hydrogen production, steam methane reforming, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '45811ec5a21e4cc98066ee5a481ca94e')",0.004606487644124302,Production,Production technology,Steam methane reforming with CCS,hydrogen production activity
