market,layer 1 group,component,contribution type,score,share of market (%),physical amount,physical unit,method,impact category,unit
Generic,Production technology,PEM electrolysis,Technology excluding leakage,0.40896688258507785,69.35950172660519,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Production technology,Biomass gasification,Technology excluding leakage,4.7448830999291417e-07,8.047173049363267e-05,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Production technology,Biomass gasification with CCS,Technology excluding leakage,0.0678351273760055,11.50462503129883,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Production technology,Coal gasification with CCS,Technology excluding leakage,4.839446909214738e-06,0.0008207550306611089,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Production technology,Ammonia leakage — Coal gasification with CCS,Ammonia leakage,0.0,0.0,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Production technology,Steam methane reforming with CCS,Technology excluding leakage,0.001794989934839375,0.3044246680752463,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Hydrogen distribution,Hydrogen distribution,Distribution excluding leakage,0.034973390418042066,5.9313774204707075,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Hydrogen distribution,Hydrogen leakage — distribution,Hydrogen leakage,0.07605783175677061,12.89916992718388,0.006914348341524601,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Production technology,PEM electrolysis,Technology excluding leakage,0.40896688258507785,66.18535665650535,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Production technology,Biomass gasification,Technology excluding leakage,4.7448830999291417e-07,7.678904909785805e-05,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Production technology,Biomass gasification with CCS,Technology excluding leakage,0.0678351273760055,10.978131214051048,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Production technology,Coal gasification with CCS,Technology excluding leakage,4.839446909214738e-06,0.000783194271580089,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Production technology,Ammonia leakage — Coal gasification with CCS,Ammonia leakage,0.0,0.0,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Production technology,Steam methane reforming with CCS,Technology excluding leakage,0.001794989934839375,0.29049307924698964,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Hydrogen distribution,Hydrogen distribution,Distribution excluding leakage,0.07149411242401532,11.570284859531062,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Transport,Hydrogen distribution,Hydrogen leakage — distribution,Hydrogen leakage,0.06781500097364189,10.974874047822263,0.006165000088512899,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Production technology,PEM electrolysis,Technology excluding leakage,0.40896688258507785,72.07388289352967,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Production technology,Biomass gasification,Technology excluding leakage,4.7448830999291417e-07,8.362098826342939e-05,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Production technology,Biomass gasification with CCS,Technology excluding leakage,0.0678351273760055,11.954858045379249,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Production technology,Coal gasification with CCS,Technology excluding leakage,4.839446909214738e-06,0.0008528752440770955,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Production technology,Ammonia leakage — Coal gasification with CCS,Ammonia leakage,0.0,0.0,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Production technology,Steam methane reforming with CCS,Technology excluding leakage,0.001794989934839375,0.31633831458654643,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Hydrogen distribution,Hydrogen distribution,Distribution excluding leakage,0.027978712334433664,4.930801299990896,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Chemicals,Hydrogen distribution,Hydrogen leakage — distribution,Hydrogen leakage,0.06084626540541649,10.723182717432646,0.005531478673219681,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
