market,market name,location,impact category,indicator,method,unit,score per kg H2,baseline score per kg H2,absolute difference,difference (%),baseline
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,acidification,accumulated exceedance (AE),"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mol H+-Eq,0.019085847945418205,0.018245440192061084,0.0008404077533571211,4.606124842758233,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,climate change,global warming potential (GWP100),"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",kg CO2-Eq,0.5266180148842581,0.4909472085536455,0.03567080633061259,7.265711202575229,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,climate change: biogenic,global warming potential (GWP100),"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",kg CO2-Eq,0.006121699102564889,0.005859813984991316,0.00026188511757357317,4.469171175814402,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,climate change: fossil,global warming potential (GWP100),"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",kg CO2-Eq,0.5025620836495875,0.4676867903182089,0.03487529333137862,7.456976346851674,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,climate change: land use and land use change,global warming potential (GWP100),"('EF v3.1', 'climate change: land use and land use change', 'global warming potential (GWP100)')",kg CO2-Eq,0.0179342321321058,0.017400604250445307,0.0005336278816604929,3.0667204079814447,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.737044652369928,25.508016736580974,1.2290279157889543,4.818202561496712,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, inorganics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.047374714542492,24.910507173807627,1.1368675407348654,4.563807283419082,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, organics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,0.6896699378274347,0.5975095627733503,0.09216037505408436,15.424083696053415,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')","MJ, net calorific value",14.333749222498405,13.611852624512759,0.721896597985646,5.303441183940137,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",kg P-Eq,0.0009787871545426634,0.0009393775831888655,3.940957135379795e-05,4.195285480415227,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",kg N-Eq,0.002274734340270223,0.002121623679998039,0.00015311066027218385,7.216673801092066,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,eutrophication: terrestrial,accumulated exceedance (AE),"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')",mol N-Eq,0.025520215845756894,0.02384908227445066,0.0016711335713062332,7.007118982924159,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,2.9155446549338444e-09,2.812860538487097e-09,1.026841164467473e-10,3.6505228411351016,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.561493950270399e-09,1.500926302917644e-09,6.056764735275486e-11,4.035351185132654,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,1.3540507046634455e-09,1.3119342355694528e-09,4.211646909399264e-11,3.2102576449429825,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,1.5632490158682213e-07,1.4986465997383985e-07,6.460241612982279e-09,4.310717159142102,Generic
Transport,"market for hydrogen, gaseous, low pressure, for transport",EUR,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.4767067969281138e-07,1.4192597490916682e-07,5.744704783644563e-09,4.047676816961234,Generic
