impact category,Generic,Transport,Chemicals,Steel,Cement,Other end uses
acidification,1.0,1.0460612484275824,0.9889855232048409,1.052136750386616,1.052136750386616,1.0632723422471864
climate change,1.0,1.0726571120257522,0.9864320865599606,1.0671041176238838,1.0671041176238838,1.0856154567789116
climate change: biogenic,1.0,1.044691711758144,0.9888315259027544,1.0498281324742957,1.0498281324742957,1.0606800328010313
climate change: fossil,1.0,1.0745697634685167,0.9863955418249551,1.0679272203873225,1.0679272203873225,1.0869848192339213
climate change: land use and land use change,1.0,1.0306672040798144,0.9866062886484097,1.050798923501478,1.050798923501478,1.0572074901299375
ecotoxicity: freshwater,1.0,1.0481820256149672,0.9884615388461035,1.053683241052925,1.053683241052925,1.0653849201114887
"ecotoxicity: freshwater, inorganics",1.0,1.0456380728341907,0.9884650774140326,1.0529734349595588,1.0529734349595588,1.0639244915813082
"ecotoxicity: freshwater, organics",1.0,1.1542408369605341,0.9883140139740809,1.0832754532657984,1.0832754532657984,1.126271000677347
energy resources: non-renewable,1.0,1.0530344118394013,0.9870578324658604,1.0590688485750093,1.0590688485750093,1.0719502977025301
eutrophication: freshwater,1.0,1.0419528548041523,0.987331391744147,1.057069113419114,1.057069113419114,1.0666125590264999
eutrophication: marine,1.0,1.0721667380109206,0.9908110882142694,1.052565657610186,1.052565657610186,1.0718324094744263
eutrophication: terrestrial,1.0,1.0700711898292417,0.9912379056460837,1.0508130723659037,1.0508130723659037,1.0695345020230904
human toxicity: carcinogenic,1.0,1.036505228411351,0.9885405305360998,1.049524409292338,1.049524409292338,1.057837015967806
"human toxicity: carcinogenic, inorganics",1.0,1.0403535118513265,0.9865689709477412,1.0585808864420843,1.0585808864420843,1.0675300514078436
"human toxicity: carcinogenic, organics",1.0,1.0321025764494298,0.990796105216376,1.039163291793238,1.039163291793238,1.0467476401038172
human toxicity: non-carcinogenic,1.0,1.043107171591421,0.9868048978601481,1.0590921457584395,1.0590921457584395,1.0688698757726698
"human toxicity: non-carcinogenic, inorganics",1.0,1.0404767681696123,0.9867996651146183,1.0581990484915365,1.0581990484915365,1.0672105959560434
"human toxicity: non-carcinogenic, organics",1.0,1.0901329154020505,0.9868984476740925,1.0750587320710692,1.0750587320710692,1.098534096446915
ionising radiation: human health,1.0,1.037198819603529,0.9865115224745665,1.0557284651998502,1.0557284651998502,1.06387006517481
land use,1.0,1.0216892032725384,0.9934152268877297,1.0271435508678155,1.0271435508678155,1.0322249541751833
material resources: metals/minerals,1.0,1.0401149552861098,0.9865938813531764,1.0569377048523076,1.0569377048523076,1.065915019820894
ozone depletion,1.0,1.028909608771695,0.9923562937095279,1.0331838424222375,1.0331838424222375,1.040144104134705
particulate matter formation,1.0,1.0383272475588265,0.9904172667888742,1.041264758738968,1.041264758738968,1.0506629752999352
photochemical oxidant formation: human health,1.0,1.049270037844015,0.990938851277232,1.0451545913696365,1.0451545913696365,1.057729315514389
water use,1.0,1.041854999053428,0.9863724866190138,1.0555734075442813,1.0555734075442813,1.0651797550426576
