market,method,impact category,unit,layer 1 group,component,absolute contribution,score per kg H2,share of total impact (%)
Cement,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Hydrogen distribution,Hydrogen distribution,0.001956077883981787,0.019196698153048503,10.18965797340078
Cement,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.019196698153048503,0.0
Cement,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,2.2894452822838273e-08,0.019196698153048503,0.00011926245149196428
Cement,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Biomass gasification,1.013739587077069e-08,0.019196698153048503,5.280801828496135e-05
Cement,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Biomass gasification with CCS,0.0013055591727496596,0.019196698153048503,6.8009569267636385
Cement,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Coal gasification with CCS,1.4141957247873182e-08,0.019196698153048503,7.366869622642574e-05
Cement,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,PEM electrolysis,0.015866941982374032,0.019196698153048503,82.65453702440128
Cement,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Steam methane reforming with CCS,6.80718676738782e-05,0.019196698153048503,0.3546019587908567
Chemicals,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Hydrogen distribution,Hydrogen distribution,0.0008038559583652075,0.018044476214448164,4.4548589208788565
Chemicals,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.018044476214448164,0.0
Chemicals,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,2.2894452822838273e-08,0.018044476214448164,0.00012687790186177166
Chemicals,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Biomass gasification,1.013739587077069e-08,0.018044476214448164,5.618005061656323e-05
Chemicals,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Biomass gasification with CCS,0.0013055591727496596,0.018044476214448164,7.2352289821762845
Chemicals,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Coal gasification with CCS,1.4141957247873182e-08,0.018044476214448164,7.837277779528871e-05
Chemicals,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,PEM electrolysis,0.015866941982374032,0.018044476214448164,87.93240542870075
Chemicals,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Steam methane reforming with CCS,6.80718676738782e-05,0.018044476214448164,0.3772449078869534
Generic,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Hydrogen distribution,Hydrogen distribution,0.0010048199479565094,0.018245440192061084,5.5072387258364115
Generic,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.018245440192061084,0.0
Generic,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,2.2894452822838273e-08,0.018245440192061084,0.00012548040815589672
Generic,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Biomass gasification,1.013739587077069e-08,0.018245440192061084,5.5561256752696224e-05
Generic,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Biomass gasification with CCS,0.0013055591727496596,0.018245440192061084,7.155536720444441
Generic,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Coal gasification with CCS,1.4141957247873182e-08,0.018245440192061084,7.750954265289033e-05
Generic,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,PEM electrolysis,0.015866941982374032,0.018245440192061084,86.9638759895638
Generic,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Steam methane reforming with CCS,6.80718676738782e-05,0.018245440192061084,0.37308975260294064
Other end uses,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Hydrogen distribution,Hydrogen distribution,0.0021592516811388073,0.01939987192834374,11.13023678256392
Other end uses,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.01939987192834374,0.0
Other end uses,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,2.2894452822838273e-08,0.01939987192834374,0.0001180134224978509
Other end uses,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Biomass gasification,1.013739587077069e-08,0.01939987192834374,5.2254962858593303e-05
Other end uses,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Biomass gasification with CCS,0.0013055591727496596,0.01939987192834374,6.7297308846776565
Other end uses,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Coal gasification with CCS,1.4141957247873182e-08,0.01939987192834374,7.28971680849676e-05
Other end uses,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,PEM electrolysis,0.015866941982374032,0.01939987192834374,81.78890067409155
Other end uses,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Steam methane reforming with CCS,6.80718676738782e-05,0.01939987192834374,0.3508882322796335
Steel,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Hydrogen distribution,Hydrogen distribution,0.001956077883981787,0.019196698153048503,10.18965797340078
Steel,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.019196698153048503,0.0
Steel,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,2.2894452822838273e-08,0.019196698153048503,0.00011926245149196428
Steel,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Biomass gasification,1.013739587077069e-08,0.019196698153048503,5.280801828496135e-05
Steel,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Biomass gasification with CCS,0.0013055591727496596,0.019196698153048503,6.8009569267636385
Steel,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Coal gasification with CCS,1.4141957247873182e-08,0.019196698153048503,7.366869622642574e-05
Steel,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,PEM electrolysis,0.015866941982374032,0.019196698153048503,82.65453702440128
Steel,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Steam methane reforming with CCS,6.80718676738782e-05,0.019196698153048503,0.3546019587908567
Transport,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Hydrogen distribution,Hydrogen distribution,0.0018452276860640297,0.019085847945418205,9.668041427035467
Transport,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.019085847945418205,0.0
Transport,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,2.2894452822838273e-08,0.019085847945418205,0.00011995512532800185
Transport,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Biomass gasification,1.013739587077069e-08,0.019085847945418205,5.311472615605899e-05
Transport,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Biomass gasification with CCS,0.0013055591727496596,0.019085847945418205,6.840456743044919
Transport,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Coal gasification with CCS,1.4141957247873182e-08,0.019085847945418205,7.40965624808309e-05
Transport,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,PEM electrolysis,0.015866941982374032,0.019085847945418205,83.1345928551374
Transport,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",acidification,mol H+-Eq,Production technology,Steam methane reforming with CCS,6.80718676738782e-05,0.019085847945418205,0.35666147958712885
Cement,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Hydrogen distribution,Hydrogen distribution,0.06911829422210725,0.6477818763424286,10.669995062592664
Cement,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.1000612661987543,0.6477818763424286,15.446752966250047
Cement,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,0.0,0.6477818763424286,0.0
