market,market location,impact category,indicator,method,unit,rank,process,process location,process key,score,share (%)
Generic,RER,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,1,"hydrogen supply, distributed by pipeline",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",0.07610142876927597,12.906563843886934
Generic,RER,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,2,"market group for electricity, medium voltage",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1f68882440364dbcaec11614acdb8a39')",0.04908374463293328,8.324449278378813
Generic,RER,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,3,"nylon 6-6 production, glass-filled",RoW,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'd2512b2d0b374a35ac83778c98943ad8')",0.02849473491376614,4.832617748796251
Generic,RER,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,4,natural gas venting from petroleum/natural gas production,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '690b9a048bb54495b40bd2c69125bbce')",0.018595182198327207,3.1536846300093875
Generic,RER,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,5,"nylon 6-6 production, glass-filled",RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'cdadf4f6d8824ab18b6542b19f997553')",0.01666976967456829,2.827140699552373
Generic,RER,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,6,"aluminium production, primary, liquid, prebake",CN,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '7f0f01cbf1b248ea9e5ef6d75fe81907')",0.014933248427857133,2.53263213776316
Generic,RER,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,7,sponge iron production,IN,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '36f1a81cc4f644b297278b7b9070c40b')",0.01228901959042867,2.084179213027854
Generic,RER,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,8,"diesel, burned in building machine",GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '85cbd0f5c8d9422eb8e62e17411ce3b6')",0.011561943534159878,1.960869392287888
Generic,RER,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,9,"quicklime production, in pieces, loose",RoW,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'eefa39eddbe442dca5d303661d6e52d6')",0.010799370255091721,1.8315393537970874
Generic,RER,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,10,"heat production, at hard coal industrial furnace 1-10MW",CHA,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '20091f32086a4e45944f66c170ba3e66')",0.010421079072376275,1.7673823546414087
