market,technology,input group,input process,input location,input key,contribution type,score,share of market (%),physical amount,physical unit,method,impact category,unit
Generic,PEM electrolysis,Infrastructure,"electrolyzer production, 1MWe, PEM, Stack",RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '4b10c19428e14b8f8d007e30ec00b854')",Upstream input,0.01734082487938773,2.9409495594363726,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,PEM electrolysis,Infrastructure,"electrolyzer production, 1MWe, PEM, Balance of Plant",RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'd3ccbd883a7f4693af1ca38b327f11a1')",Upstream input,0.0034535790828300623,0.5857161901335318,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,PEM electrolysis,Waste treatment,"treatment of electrolyzer stack, 1MWe, PEM",RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13e729a7f3fc4f6182834436182fefe6')",Upstream input,4.765249443555027e-05,0.008081713729942468,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,PEM electrolysis,Waste treatment,"treatment of electrolyzer balance of plant, 1MWe, PEM",RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '4f96e300894a475a8c1971ce79fbca2c')",Upstream input,0.0004336724366286783,0.07354948627379494,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,PEM electrolysis,Water,"deionized water production, via reverse osmosis, from brackish water",RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '4e0a52c5b9864dfebab5c43621971720')",Upstream input,0.00022295881964054263,0.03781311713572067,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,PEM electrolysis,Electricity,"market group for electricity, low voltage",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13f887da454449da9d91f12bd7f18f05')",Upstream input,0.38746819891061884,65.71339234480658,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,PEM electrolysis,Other direct emissions,Oxygen,biosphere,"('biosphere-3.12', '9ec076d9-6d9f-4a0b-9851-730626ed4319')",Other direct emissions,0.0,0.0,5.297587840298096,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,PEM electrolysis,Other direct emissions,"Occupation, industrial area",biosphere,"('biosphere-3.12', 'fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b')",Other direct emissions,0.0,0.0,0.0004022534096710235,square meter-year,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,PEM electrolysis,Other direct emissions,"Transformation, from industrial area",biosphere,"('biosphere-3.12', 'b6dcefd8-3848-4338-9c3e-fe6e91f20937')",Other direct emissions,0.0,0.0,2.0112669760831963e-05,square meter,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,PEM electrolysis,Other direct emissions,"Transformation, to industrial area",biosphere,"('biosphere-3.12', '4624deff-2016-41d4-b2bf-3db8dab88779')",Other direct emissions,0.0,0.0,2.0112669760831963e-05,square meter,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Biomass gasification,Infrastructure,"market for liquid storage tank, chemicals, organics",GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '65328045d6934aea9218657932fe4f18')",Upstream input,7.965895151598674e-09,1.3509908553691378e-06,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Biomass gasification,Water,"market for water, deionised",Europe without Switzerland,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'a3b3af9d63ee4c50a4506512784991e4')",Upstream input,7.051067455410121e-09,1.1958389448470523e-06,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Biomass gasification,Biomass feedstock,"market for lignocellulosic biomass, used as fuel",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '89cba6c9714f4f4bb98cf9b3e82f439a')",Upstream input,4.517839236865482e-07,7.662113772371493e-05,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Biomass gasification,Infrastructure,synthetic gas factory construction,RoW,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '2d99aa9618294621ad0ab6a287164682')",Upstream input,3.66742724935756e-10,6.219841690508948e-08,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Biomass gasification,Water,"treatment of wastewater, average, wastewater treatment",Europe without Switzerland,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'db7e3c0fc9d3451395736c9985715bb8')",Upstream input,7.320680974422325e-09,1.2415645527966223e-06,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Biomass gasification,Other direct emissions,"Carbon dioxide, non-fossil",biosphere,"('biosphere-3.12', 'eba59fd6-f37e-41dc-9ca3-c7ea22d602c7')",Other direct emissions,0.0,0.0,7.70229301991037e-05,kilogram,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Biomass gasification with CCS,CO2 capture and storage,"carbon dioxide, captured at hydrogen production plant, pre, pipeline 200km, storage 1000m",RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'f35934f4c5ec445c8e063cf6d8b1795b')",Upstream input,0.02432679253423312,4.125747782107756,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Biomass gasification with CCS,Infrastructure,"market for liquid storage tank, chemicals, organics",GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '65328045d6934aea9218657932fe4f18')",Upstream input,0.0007304207590957928,0.12387707185829092,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Biomass gasification with CCS,Water,"market for water, deionised",Europe without Switzerland,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'a3b3af9d63ee4c50a4506512784991e4')",Upstream input,0.0006473808590467447,0.10979376502810792,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Biomass gasification with CCS,Biomass feedstock,"market for lignocellulosic biomass, used as fuel",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '89cba6c9714f4f4bb98cf9b3e82f439a')",Upstream input,0.0414256464849626,7.025659830296336,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Biomass gasification with CCS,Infrastructure,synthetic gas factory construction,RoW,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '2d99aa9618294621ad0ab6a287164682')",Upstream input,3.3627921839603216e-05,0.005703190165797565,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
Generic,Biomass gasification with CCS,Water,"treatment of wastewater, average, wastewater treatment",Europe without Switzerland,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'db7e3c0fc9d3451395736c9985715bb8')",Upstream input,0.0006712588168277055,0.11384339184255253,,,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq
