database,iam model,model label,scenario,scenario label,scenario key,warming bin,year,comparison label,name,reference product,location,unit,database key,market availability
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"market for hydrogen, gaseous, low pressure","hydrogen, gaseous, low pressure",RER,kilogram,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '2392f2b75cab45bbb1df20af27e9ff76')",available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,"market for hydrogen, gaseous, low pressure, for transport","hydrogen, gaseous, low pressure",EUR,kilogram,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'ec3942b20bfe43ba8736c186798d222f')",available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals","hydrogen, gaseous, low pressure",EUR,kilogram,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'adb38f6a1d904f059291c7a2930398f0')",available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Steel,,,,,,NA — market not generated
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Cement,"market for hydrogen, gaseous, low pressure, for cement","hydrogen, gaseous, low pressure",EUR,kilogram,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'e139b75de09d43c78b5577fc951930ac')",available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Heating,"market for hydrogen, gaseous, low pressure, for heating","hydrogen, gaseous, low pressure",EUR,kilogram,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'c55b4fce477646a5b1eafe4fde07b190')",available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Other end uses,"market for hydrogen, gaseous, low pressure, for other end uses","hydrogen, gaseous, low pressure",EUR,kilogram,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '601eae832802453db5d2c6224bf9a130')",available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2040_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2040,Generic,"market for hydrogen, gaseous, low pressure","hydrogen, gaseous, low pressure",RER,kilogram,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2040_06-2_full', 'fb48bcf6eea140899566b6b16e742de2')",available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2040_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2040,Transport,"market for hydrogen, gaseous, low pressure, for transport","hydrogen, gaseous, low pressure",EUR,kilogram,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2040_06-2_full', '7cb643221b7a4c2cb86b66eac5a4f0e1')",available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2040_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2040,Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals","hydrogen, gaseous, low pressure",EUR,kilogram,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2040_06-2_full', 'aed2771343f04cef998e5dff3bc586ad')",available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2040_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2040,Steel,"market for hydrogen, gaseous, low pressure, for steel","hydrogen, gaseous, low pressure",EUR,kilogram,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2040_06-2_full', '864c7d20d19f4dfebb5102564960737c')",available
