database,iam model,model label,scenario,scenario label,scenario key,warming bin,year,market,stage,transport technology,component,process,contribution type,score,share of market (%),method,impact category,unit,impact label
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,Production,Hydrogen production,PEM electrolysis,PEM electrolysis,Technology excluding leakage,1.6590502513370884,38.026536362905695,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,Production,Hydrogen production,Biomass gasification,Biomass gasification,Technology excluding leakage,3.421250932690647e-06,7.841734925975568e-05,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,Production,Hydrogen production,Biomass gasification with CCS,Biomass gasification with CCS,Technology excluding leakage,0.03223686242187699,0.7388903501407096,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,Production,Hydrogen production,Coal gasification with CCS,Coal gasification with CCS,Technology excluding leakage,5.708429507678727e-05,0.0013084100501107965,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,Production,Hydrogen production,Ammonia leakage — Coal gasification with CCS,Ammonia leakage — Coal gasification with CCS,Ammonia leakage,0.0,0.0,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,Production,Hydrogen production,Steam methane reforming,Steam methane reforming,Technology excluding leakage,2.278277449260766,52.219636023249016,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,Production,Hydrogen production,Steam methane reforming with CCS,Steam methane reforming with CCS,Technology excluding leakage,0.1723454226847984,3.950271836203862,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,Production,Hydrogen production,PEM electrolysis,PEM electrolysis,Technology excluding leakage,1.6590502513370884,36.40900993582648,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,Production,Hydrogen production,Biomass gasification,Biomass gasification,Technology excluding leakage,3.421250932690647e-06,7.508172769384078e-05,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,Production,Hydrogen production,Biomass gasification with CCS,Biomass gasification with CCS,Technology excluding leakage,0.03223686242187699,0.7074603335685906,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,Production,Hydrogen production,Coal gasification with CCS,Coal gasification with CCS,Technology excluding leakage,5.708429507678727e-05,0.001252754499121021,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,Production,Hydrogen production,Ammonia leakage — Coal gasification with CCS,Ammonia leakage — Coal gasification with CCS,Ammonia leakage,0.0,0.0,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,Production,Hydrogen production,Steam methane reforming,Steam methane reforming,Technology excluding leakage,2.278277449260766,49.9983808325591,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,Production,Hydrogen production,Steam methane reforming with CCS,Steam methane reforming with CCS,Technology excluding leakage,0.1723454226847984,3.7822399905414863,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Climate change — premise GWP incl. H₂
