database,iam model,model label,scenario,scenario label,scenario key,warming bin,year,market,method,market name,location,impact category,indicator,unit,score per kg H2,impact label,market availability,reference score per kg H2,change from reference (%)
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Steel,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",,,acidification,accumulated exceedance (AE),mol H+-Eq,,Acidification,NA — market not generated,,
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Steel,"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",,,climate change,global warming potential (GWP100),kg CO2-Eq,,Climate change — EF 3.1,NA — market not generated,,
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Steel,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",,,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),CTUe,,Ecotoxicity — freshwater,NA — market not generated,,
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Steel,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",,,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",,Resource use — energy carriers,NA — market not generated,,
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Steel,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",,,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,,Eutrophication — freshwater,NA — market not generated,,
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Steel,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",,,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),kg N-Eq,,Eutrophication — marine,NA — market not generated,,
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Steel,"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')",,,eutrophication: terrestrial,accumulated exceedance (AE),mol N-Eq,,Eutrophication — terrestrial,NA — market not generated,,
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Steel,"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",,,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),CTUh,,Human toxicity — cancer,NA — market not generated,,
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Steel,"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",,,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),CTUh,,Human toxicity — non-cancer,NA — market not generated,,
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Steel,"('EF v3.1', 'ionising radiation: human health', 'human exposure efficiency relative to u235')",,,ionising radiation: human health,human exposure efficiency relative to u235,kBq U235-Eq,,Ionising radiation — human health,NA — market not generated,,
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Steel,"('EF v3.1', 'land use', 'soil quality index')",,,land use,soil quality index,dimensionless,,Land use,NA — market not generated,,
