Units,scenario,region,Year,value
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,1975,2.685467169
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,1990,6.887464960700001
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2005,12.050097112400003
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2010,17.389709521329998
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2015,21.575193945352
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2021,25.175611518137
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2025,29.679901193750403
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2030,35.254156511854916
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2035,43.33268921254802
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2040,30.472695637834455
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2045,13.79754081232854
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2050,2.041708732643872
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2055,-5.925266621156727
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2060,-7.947540323759798
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2065,-6.990123235860637
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2070,-4.839004425530838
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2075,-4.6618744924218785
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2080,-4.097005026597143
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2085,-4.429309910501796
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2090,-4.994005034478003
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2095,-6.011536890919284
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,2100,2.717508635729339
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,1975,19.414345079
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,1990,67.418306415765
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2005,112.17997964207
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2010,133.758375228078
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2015,153.94569403639
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2021,169.61551508994
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2025,185.70838925279
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2030,201.487504915285
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2035,223.669211484696
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2040,160.4260148986938
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2045,122.76269882321226
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2050,98.99300586475354
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2055,90.95656537486103
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2060,88.03105067199529
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2065,84.80332044181259
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2070,80.3948413199254
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2075,73.92235401362537
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2080,66.01053741786473
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,2085,58.3929079179662
