Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2040,1.44537e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2045,2.19544e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2050,1.67871e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2055,1.41322e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2060,8.04014e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2065,4.22193e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2070,2.08771e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2075,1.0191e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2080,4.73836e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2085,2.36408e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2090,1.02841e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,elect_td_ind,2095,5.29621e-08
