Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,1975,0.000683078
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,1990,0.00106375
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2005,0.00247004
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2010,0.0037238
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2015,0.0037238
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2021,0.0037238
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2025,0.004494475
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2030,0.006542491
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2035,0.009285755
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2040,0.008097422
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2045,0.0059456969
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2050,0.0038739644
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2055,0.0020805818
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2060,0.00081997325
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2065,0.0003068103
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2070,0.00014091059
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2075,8.058568000000001e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2080,5.2656114e-05
