Units,scenario,region,sector,subsector,technology,Year,value
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,1975,1.608
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,1990,2.50413
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2005,6.07188
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2010,9.15387
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2015,9.15387
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2021,9.15387
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2025,10.68268
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2030,14.73085
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2035,20.03508
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2040,17.161085
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2045,12.268468
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2050,7.846886899999999
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2055,4.1839708
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2060,1.6399460000000001
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2065,0.6136197999999999
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2070,0.2818213
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2075,0.16117115
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2080,0.10531234
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2085,0.062005027000000004
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2090,0.031950103
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2095,0.014193859999999999
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement,2100,0.007178001
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement CCS,2040,4.28516
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement CCS,2045,12.444040000000001
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement CCS,2050,21.97891
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement CCS,2055,33.03808
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement CCS,2060,44.75035
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement CCS,2065,57.076282
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement CCS,2070,70.888944
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement CCS,2075,85.56392310000001
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement CCS,2080,98.8748902
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement CCS,2085,110.064644
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement CCS,2090,119.56746700000001
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,cement,cement,cement CCS,2095,127.602845
