Units,scenario,region,sector,subsector,technology,Year,value
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2040,0.000264202
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2045,0.000428905
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2050,0.00352173
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2055,0.00296477
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2060,0.00168673
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2065,0.000885714
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2070,0.000437978
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2075,0.000213796
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2080,9.94055e-05
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2085,4.95958e-05
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2090,2.15749e-05
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2095,1.11109e-05
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2100,3.74126e-07
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2040,2.87099e-05
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2045,0.000118295
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2050,0.00043815
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2055,0.000198304
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2060,8.7002e-05
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2065,4.28313e-05
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2070,2.1779e-05
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2075,1.23803e-05
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2080,7.15465e-06
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2085,4.18657e-06
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2090,2.42219e-06
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2095,1.59884e-06
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2100,1.35374e-07
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2040,0.000131175
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2045,0.00141985
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2050,0.0134002
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2055,0.00638373
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2060,0.00295743
MTC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2065,0.00153487
