Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2025,0.000105088
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2030,0.000450677
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2035,0.0015195
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2040,0.00503916
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2045,0.0129033
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2050,0.0270317
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2055,0.0464325
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2060,0.0732725
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2065,0.107914
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2070,0.145452
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2075,0.186908
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2080,0.23029
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2085,0.274601
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2090,0.31696
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2095,0.354183
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,backup_electricity,2100,0.38562
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2025,0.0038583
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2030,0.00872597
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2035,0.0229429
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,distributed_solar,2040,0.0607873
