Units,scenario,region,subsector,technology,output,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2040,0.0044593
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2045,0.0203416
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2050,0.0505004
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2055,0.0964586
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2060,0.152276
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2065,0.208865
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2070,0.265091
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2075,0.320922
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2080,0.35358
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2085,0.365064
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2090,0.35181
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2095,0.331183
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC CCS),electricity,2100,0.159366
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2030,0.000571392
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2035,0.00183223
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2040,0.00146288
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2045,0.000125302
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2050,1.79101e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2055,1.11555e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2060,8.28689e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2065,5.91159e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2070,3.77951e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2075,1.98533e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2080,1.09677e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2085,4.87074e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2090,1.89407e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2095,7.7886e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (IGCC),electricity,2100,7.50731e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2040,0.0686424
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2045,0.181225
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2050,0.256116
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2055,0.29157
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2060,0.262689
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2065,0.21232
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2070,0.158776
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2075,0.128579
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2080,0.100912
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2085,0.0813102
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2090,0.0666378
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2095,0.0543859
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv CCS),electricity,2100,0.0249654
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,1990,0.00136107
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2005,0.00259727
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2010,0.00308192
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2015,0.00283748
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2021,0.00237357
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2025,0.00228888
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2030,0.00400587
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2035,0.00765115
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2040,0.00346264
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2045,0.000127937
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2050,1.48803e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2055,6.55038e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2060,3.6255e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2065,2.1155e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2070,1.15543e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2075,5.59036e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2080,2.81975e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2085,1.12053e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2090,4.01698e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2095,1.33027e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,biomass (conv),electricity,2100,1.2445e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2040,7.34749e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2045,0.000264037
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2050,0.000553464
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2055,0.000951688
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2060,0.00135568
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2065,0.00160373
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2070,0.0017642
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2075,0.00183423
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2080,0.00186456
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2085,0.00192781
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2090,0.0020279
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2095,0.0020472
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC CCS),electricity,2100,0.00196579
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2030,5.20802e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2035,0.000127766
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2040,6.24238e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2045,8.14436e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2050,2.13863e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2055,1.68185e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2060,1.39423e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2065,1.15075e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2070,8.5841e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2075,5.53776e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2080,3.71496e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2085,2.00903e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2090,9.58455e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2095,4.90311e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (IGCC),electricity,2100,4.17999e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2040,0.00409708
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2045,0.0117819
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2050,0.0194709
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2055,0.0258128
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2060,0.0261319
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2065,0.0212849
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2070,0.0168645
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2075,0.0134431
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2080,0.0106337
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2085,0.00937234
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2090,0.00860403
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2095,0.00746832
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul CCS),electricity,2100,0.00541234
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,1990,0.00017388
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2005,0.00325193
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2010,0.00543735
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2015,0.00626
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2021,0.00635877
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2025,0.0104686
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2030,0.0141246
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2035,0.0196942
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2040,0.00310831
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2045,0.000226561
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2050,4.21806e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2055,2.06356e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2060,1.04051e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2065,5.41058e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2070,2.80043e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2075,1.3978e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2080,7.16252e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2085,2.98129e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2090,1.16061e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2095,4.23134e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,coal,coal (conv pul),electricity,2100,3.38529e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas,gas (CC CCS),electricity,2040,0.00147748
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas,gas (CC CCS),electricity,2045,0.00253335
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas,gas (CC CCS),electricity,2050,0.00674639
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas,gas (CC CCS),electricity,2055,0.0170767
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas,gas (CC CCS),electricity,2060,0.0334136
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas,gas (CC CCS),electricity,2065,0.0530733
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas,gas (CC CCS),electricity,2070,0.079616
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas,gas (CC CCS),electricity,2075,0.107188
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas,gas (CC CCS),electricity,2080,0.13139
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas,gas (CC CCS),electricity,2085,0.160273
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas,gas (CC CCS),electricity,2090,0.17966
