Units,scenario,region,sector,subsector,technology,fuel,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2010,0.000172279
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2015,0.00197396
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2021,0.00217149
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2025,0.0135468
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2030,0.0382872
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2035,0.0765269
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2040,0.166858
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2045,0.212355
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2050,0.163134
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2055,0.131335
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2060,0.098153
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2065,0.0674299
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2070,0.0371195
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2075,0.0185885
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2080,0.00783473
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2085,0.00196476
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2090,0.000523218
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2095,7.85378e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2100,1.50327e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2025,5.66071e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2030,3.45867e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2035,1.18775e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2040,1.17272e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2045,2.66514e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2050,3.90098e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2055,5.23825e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2060,5.13228e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2065,4.05833e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2070,2.6293e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2075,1.51818e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2080,7.91248e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2085,2.68652e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2090,1.13268e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2095,3.5398e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2100,1.36979e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2010,0.000101292
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2015,0.000222696
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2021,0.0021259
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2025,0.00099088
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2030,0.000924732
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2035,0.00224539
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2040,0.00310965
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2045,0.0375011
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2050,0.199204
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2055,0.410696
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2060,0.634064
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2065,0.822988
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2070,0.953766
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2075,0.990973
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2080,0.957211
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2085,0.897019
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2090,0.7984
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2095,0.705522
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2100,0.520066
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2010,4.02899e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2021,1.343e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2025,0.000233522
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2030,0.000559177
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2035,0.00101971
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2040,0.00261094
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2045,0.000436125
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2050,0.000136566
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2055,9.96683e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2060,7.58572e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2065,5.30051e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2070,3.14074e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2075,1.90371e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2080,1.13664e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2085,3.42555e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2090,2.83508e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2095,8.44987e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,biomass gasification,biomass gasification,regional biomass,2100,5.48327e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,1975,0.000117872
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,1990,0.000418619
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2005,0.00066976
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2010,0.000460518
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2015,0.000167472
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2025,0.000367333
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2030,0.000957487
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2035,0.00195525
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2040,0.000160743
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2045,3.53452e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2050,1.59089e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2055,1.4759e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2060,1.12742e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,gas processing,coal gasification,coal gasification,regional coal,2065,6.97237e-06
