Units,scenario,region,sector,subsector,technology,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2010,0.000128279
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2015,0.00146982
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2021,0.00161689
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2025,0.010087
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2030,0.0286738
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2035,0.0576459
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2040,0.126427
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2045,0.161848
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2050,0.125071
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2055,0.101292
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2060,0.0761545
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2065,0.052633
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2070,0.0291499
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2075,0.0146867
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2080,0.00622825
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2085,0.00157156
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2090,0.000421112
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2095,6.36071e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2100,1.22516e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2025,4.26902e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2030,2.62352e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2035,9.06215e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2040,9.00017e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2045,2.05749e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2050,3.0295e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2055,4.09238e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2060,4.03376e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2065,3.20901e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2070,2.09173e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2075,1.21519e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2080,6.37247e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2085,2.17708e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2090,9.2363e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2095,2.90465e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2100,1.13112e-08
