Units,scenario,Year,value
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1975,0.0
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1976,0.100269
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1977,0.120862
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1978,0.141714
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1979,0.159493
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1980,0.173513
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1981,0.187989
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1982,0.183148
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1983,0.146355
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1984,0.157532
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1985,0.188321
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1986,0.215748
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1987,0.242095
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1988,0.27001
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1989,0.298248
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1990,0.322944
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1991,0.296353
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1992,0.188759
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1993,0.181627
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1994,0.238899
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1995,0.301649
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1996,0.3554
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1997,0.390187
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1998,0.4223
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",1999,0.460964
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2000,0.496196
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2001,0.526278
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2002,0.547918
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2003,0.56536
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2004,0.585223
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2005,0.603615
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2006,0.62285
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2007,0.64461
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2008,0.669476
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2009,0.693646
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2010,0.721912
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2011,0.747655
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2012,0.776269
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2013,0.806565
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2014,0.835195
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2015,0.862991
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2016,0.890828
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2017,0.918176
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2018,0.945174
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2019,0.971911
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2020,0.998482
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2021,1.02495
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2022,1.04998
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2023,1.07433
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2024,1.09824
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2025,1.12292
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2026,1.14799
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2027,1.17326
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2028,1.19875
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2029,1.22445
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2030,1.25038
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2031,1.27629
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2032,1.30225
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2033,1.3283
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2034,1.35448
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2035,1.3808
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2036,1.4084
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2037,1.43705
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2038,1.46583
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2039,1.49416
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2040,1.52164
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2041,1.54797
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2042,1.57258
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2043,1.59584
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2044,1.61802
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2045,1.63928
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2046,1.65845
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2047,1.67594
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2048,1.69216
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2049,1.70736
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2050,1.7217
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2051,1.73504
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2052,1.74755
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2053,1.75938
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2054,1.77064
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2055,1.7814
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2056,1.79172
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2057,1.80161
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2058,1.81115
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2059,1.82039
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2060,1.82932
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2061,1.83797
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2062,1.84626
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2063,1.85424
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2064,1.86193
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2065,1.86936
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2066,1.87652
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2067,1.88338
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2068,1.88997
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2069,1.8963
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2070,1.90241
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2071,1.90828
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2072,1.9139
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2073,1.91929
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2074,1.92448
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2075,1.92946
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2076,1.93424
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2077,1.93878
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2078,1.9431
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2079,1.94727
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2080,1.95125
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2081,1.95502
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2082,1.95856
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2083,1.96189
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2084,1.965
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2085,1.96792
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2086,1.97059
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2087,1.97299
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2088,1.97516
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2089,1.9771
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2090,1.97883
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2091,1.9803
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2092,1.98148
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2093,1.98242
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2094,1.98312
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2095,1.98361
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2096,1.98387
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2097,1.9839
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2098,1.9837
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2099,1.98329
degreesC,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",2100,1.98268
