Units,scenario,region,sector,subsector,technology,fuel,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2025,9.53624e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2030,1.5417079e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2035,4.4365562000000004e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2040,3.6500615e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2045,2.6286857e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2050,2.1903352e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2055,8.173797e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2060,4.3760628000000004e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2065,2.763982e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2070,1.4119279999999999e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2075,5.99789e-09
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2080,3.12254e-09
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2085,1.17714e-09
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2090,4.23811e-10
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2095,1.74777e-10
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2100,1.66547e-10
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2025,7.13266e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2030,0.0011537193000000002
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2035,0.0033213479
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2040,0.0027326404
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2045,0.00019681019000000003
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2050,1.64022718e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2055,6.12832724e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2060,3.2898387000000004e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2065,2.078520987e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2070,1.0692307309999998e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2075,4.53499275e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2080,2.34955e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2085,8.86222e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2090,3.19243e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2095,1.31726e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2100,1.25591e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2025,1.2927e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2030,1.847444e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2035,4.8448399999999995e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2040,3.9587723e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2045,2.8226676e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2050,2.30857645e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2055,8.2873404e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2060,4.2252293e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2065,2.5888005e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2070,1.301937e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2075,5.50687e-09
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2080,2.8885e-09
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2085,1.09712e-09
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2090,3.97975e-10
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2095,1.65358e-10
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2100,1.58759e-10
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2040,0.000296678
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2045,0.001127715
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2050,0.0018180989999999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2055,0.0022453969999999997
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2060,0.0023573509999999997
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2065,0.0022359160999999997
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2070,0.0019219341
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2075,0.0017489604
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2080,0.0015236908
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2085,0.00131687331
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2090,0.0011701718499999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2095,0.0010215579
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,elect_td_ind,2100,0.0005711510900000001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2040,0.0222339
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2045,0.08455
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2050,0.1363506
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2055,0.1684426
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2060,0.1769118
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2065,0.16788698
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2070,0.14440292
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2075,0.131491736
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2080,0.11462839
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2085,0.099134352
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2090,0.088146838
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2095,0.076996638
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional biomass,2100,0.0430787879
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2040,0.000256174
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2045,0.00094697
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2050,0.00152889
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2055,0.0018958360000000001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2060,0.002004487
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2065,0.0019208368
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2070,0.0016724562
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2075,0.00154203198
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2080,0.0013604379999999998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2085,0.0011909316500000001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2090,0.00107106313
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2095,0.00094498236
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,regional natural gas,2100,0.0005349724239999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2040,8.00972e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2045,0.0003139716
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2050,0.0005783924
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2055,0.0008021829
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2060,0.0009270757
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2065,0.000886146
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2070,0.00076367831
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2075,0.0006445405
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2080,0.00054248529
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2085,0.00046844002
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2090,0.00042624895999999996
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2095,0.000371502528
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,elect_td_ind,2100,0.000280241756
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2040,0.00332305
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2045,0.01303153
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2050,0.024014800000000003
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2055,0.03331864
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2060,0.03852447
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2065,0.03679016
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2070,0.031635342
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2075,0.026679073400000003
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2080,0.022446141
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2085,0.019378691899999998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2090,0.0176316505
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2095,0.0153664631
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,regional coal,2100,0.0115913806
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2025,1.15261e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2030,0.000124866128
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2035,0.0002076295053
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2040,0.000644173938
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2045,0.0021118540384
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2050,0.0031102040523
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2055,0.004199638728
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2060,0.0066748437376
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2065,0.009619023846999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2070,0.012401645546000001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2075,0.014616420602
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2080,0.01703858391
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2085,0.01879497734
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2090,0.02077946253
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2095,0.022744457500000002
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,elect_td_ind,2100,0.0264827474
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2040,0.000459946
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2045,0.002591409
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2050,0.005398738
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2055,0.008106741
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2060,0.010910252
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2065,0.012803627
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2070,0.0135546729
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2075,0.0131633539
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2080,0.012053135
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2085,0.011392903999999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2090,0.010342699
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2095,0.009461067
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,elect_td_ind,2100,0.0065064933
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2040,0.00608133
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2045,0.03426307
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2050,0.07138121
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2055,0.10718589
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2060,0.14425341
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2065,0.16928718
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2070,0.17921746
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2075,0.174043387
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2080,0.15936449
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2085,0.15063487
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2090,0.13674920000000002
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2095,0.1250925
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,regional natural gas,2100,0.086027667
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,natural gas steam reforming,elect_td_ind,2025,6.70538e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,natural gas steam reforming,elect_td_ind,2030,6.11905e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,natural gas steam reforming,elect_td_ind,2035,0.00016784527999999998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,gas,natural gas steam reforming,elect_td_ind,2040,0.00016054377
