Units,scenario,region,sector,subsector,technology,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2025,3.29656e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2030,0.0005367406
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2035,0.0015529688
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2040,0.0012782121
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2045,9.213166e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2050,7.6977167e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2055,2.8970506299999996e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2060,1.574836354e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2065,1.007410738e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2070,5.23836508e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2075,2.24647513e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2080,1.17231e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2085,4.4527e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2090,1.6152e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2095,6.71114e-09
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2100,6.4433e-09
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2040,0.00933726
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2045,0.03600565
