Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2021,4.02821e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2025,0.0011828041999999998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2030,0.0047393148
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2035,0.01224731029
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2040,0.014302583
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2045,0.012371894
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2050,0.009071599999999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2055,0.007106924000000001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2060,0.0066933570000000005
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2065,0.006597055
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2070,0.006075532
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2075,0.005011675
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2080,0.003648323
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2085,0.002330245
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2090,0.0013133609999999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2095,0.0006912233
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2100,0.0003888419
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2021,6.33862e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2025,0.00018612184
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2030,0.0007457592300000001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2035,0.00192718403
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2040,0.0022506004000000003
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2045,0.0019467909999999998
