Units,scenario,region,sector,subsector,technology,output,Year,value
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2021,0.0024009
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2025,0.07049794999999999
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2030,0.28247376
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2035,0.729967348
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2040,0.8524651
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2045,0.7373934
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2050,0.5406877
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2055,0.4235886
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2060,0.398939
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2065,0.3931996
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2070,0.3621148
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2075,0.2987065
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2080,0.2174479
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2085,0.1388876
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2090,0.07827919
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2095,0.04119852
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2100,0.0231759
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2040,0.415525
Mt,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2045,1.29441
