Units,scenario,region,LandLeaf,Year,value
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,1975,31.966277599999998
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,1990,34.9113508
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2005,47.9468642
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2010,60.839262
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2015,68.5730244
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2021,64.468125
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2025,66.9469503
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2030,69.85506769999999
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2035,72.1025805
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2040,72.95330080000001
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2045,74.41610242
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2050,75.10063358
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2055,76.20427192999999
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2060,77.82452321
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2065,78.86691243
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2070,79.44916083
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2075,79.71085395
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2080,79.69261727
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2085,79.52520196
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2090,79.25807919
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2095,78.85070262
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,CornC4,2100,78.31915823
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,1975,14.1589484
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,1990,8.0305122
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2005,7.9391238
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2010,6.82036822074
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2015,6.6499756
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2021,7.7974684001
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2025,7.9915546682
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2030,8.56815800633
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2035,9.02798963147
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2040,9.34859472888
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2045,9.80480381527
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2050,10.15670681751
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2055,10.72449151214
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2060,11.30010899178
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2065,11.79461889388
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2070,12.21959400024
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2075,12.55879311985
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2080,12.801443468390001
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2085,12.991809806300001
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2090,13.13418965862
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2095,13.21781033413
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,2100,13.160267113014001
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FodderGrass,1975,0.0
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FodderGrass,1990,1.1997828000000001
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FodderGrass,2005,1.5062502
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FodderGrass,2010,1.53973999148
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FodderGrass,2015,1.5396433999999999
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FodderGrass,2021,1.5395552204799998
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FodderGrass,2025,1.7367942813100001
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FodderGrass,2030,2.06042976172
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FodderGrass,2035,2.3995282841
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FodderGrass,2040,2.73206039137
thous km2,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FodderGrass,2045,3.0733960494200003
