Units,scenario,region,sector,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2025,0.1685034458675
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2030,0.2909809471722
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2035,0.3992651146727
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2040,0.696202723786
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2045,0.689537180408
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2050,0.736064732032
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2055,0.721392548525
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2060,0.6148564814640001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2065,0.488381758466
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2070,0.388319708228
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2075,0.3071702986898
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2080,0.2433461985765
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2085,0.1952470720416
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2090,0.16422576025639998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2095,0.143010802445
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,biomass,2100,0.1209378396293
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,biomass,2025,0.003386701027311
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,biomass,2030,0.008846305515096
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,biomass,2035,0.01795917566023
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,biomass,2040,0.09950001496633001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,biomass,2045,0.11546508572241
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,biomass,2050,0.13561575441374
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,biomass,2055,0.14290412231805
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Northern,biomass,2060,0.11912428512522
