Units,scenario,region,sector,subsector,technology,output,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2030,0.000250656
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2035,0.000483186
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2040,0.000139875
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2045,0.000312883
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2050,0.000265247
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2055,0.000393176
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2060,0.000429077
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2065,0.000387633
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2070,0.00036935
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2075,0.000261114
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2080,0.000242404
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2085,0.000233906
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2090,0.000197496
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2095,0.000126024
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2100,9.0248e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2025,0.0152522
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2030,0.0330949
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2035,0.0655859
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2040,0.0805201
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2045,0.03653298
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2050,0.006069479
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2055,0.0027323573
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2060,0.0011271651
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2065,0.00039983805000000003
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2070,0.000120208267
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2075,3.1147801e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2080,6.6698705e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2085,1.3519174500000001e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2090,2.22686675e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2095,3.0781083e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2100,4.823773e-09
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2040,0.0297447
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2045,0.0977363
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2050,0.1421329
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2055,0.1831816
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2060,0.2096982
