Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,1975,0.000192821
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,1990,0.0007067749
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2005,0.00283343
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2010,0.006358788
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2015,0.011231671
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2021,0.024059326000000002
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2025,0.030554290600000002
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2030,0.0376208867
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2035,0.0460600979
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2040,0.06764202395999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2045,0.0820397748
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2050,0.10057809459999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2055,0.11354394396999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2060,0.1254106543
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2065,0.1339435191
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2070,0.140593661
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2075,0.1447337303
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2080,0.14732813313999998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2085,0.14891416597999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2090,0.14700116712
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2095,0.13780127643
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Corn,biomass,2100,0.13358897245
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,1975,0.0038110411332
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,1990,0.0051738939958
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2005,0.006587399553
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2010,0.0048270676142
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2015,0.005929201142
