Units,scenario,region,sector,mode,technology,input,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2035,1.45697e-09
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2040,2.67367e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2045,4.78352e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2050,8.46994e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2055,2.66598e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2060,7.63635e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2065,0.000198785
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2070,0.000484081
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2075,0.0011195
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2080,0.00243087
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2085,0.00506236
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2090,0.00984271
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2095,0.017131
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2100,0.025762
