Units,scenario,region,sector,subsector,technology,Year,value
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2035,0.00113907
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2040,0.0211154
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2045,0.381566
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2050,6.82349
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2055,21.4774
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2060,61.5194
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2065,160.143
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2070,389.981
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2075,901.883
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2080,1958.34
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2085,4078.3
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2090,7929.41
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2095,13800.9
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,BEV,2100,20754.2
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2035,0.000862374
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2040,0.0376996
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2045,1.4838
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2050,48.516
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2055,163.652
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2060,504.984
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2065,1407.83
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2070,3637.97
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2075,8827.59
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2080,19972.5
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2085,43276.5
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2090,86543.9
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2095,154040.0
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Hydrogen,2100,235851.0
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,1975,6568.11
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,1990,8976.72
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,2005,16753.5
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,2010,21374.2
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,2015,25999.7
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,2021,22229.1
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,2025,27292.8
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,2030,38029.3
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,2035,50342.1
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,2040,58670.7
million pass-km,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,trn_aviation_intl,International Aviation,Liquids,2045,68406.4
