Units,scenario,region,sector,subsector,technology,Year,value
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2040,0.00037367
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2045,0.043071813
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2050,0.228179207
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2055,0.35932925000000004
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2060,0.460550239
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2065,0.541504897
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2070,0.5950274646282
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2075,0.584631694221294
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2080,0.02509127678839
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2085,0.013605114994438
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2090,0.00683592
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2095,0.00352228
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC NG,2100,0.0015732
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2040,0.000293543
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2045,0.00237543
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2050,0.014237103977677001
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2055,0.012918032658280001
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2060,0.010572511641805
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2065,0.010786616033282001
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2070,0.010655014271733999
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2075,0.008799363103075001
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2080,0.006831
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2085,0.00502272
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2090,0.00364068
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2095,0.00284819
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,hightemp DAC elec,2100,0.00194841
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2040,0.00108584
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2045,0.01904266
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2050,0.232833902
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2055,0.416220821
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2060,0.553862749
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2065,0.68039095
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2070,0.783116563
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2075,0.833342145
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2080,0.833499754
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2085,0.7941521188
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2090,0.726527140493386
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2095,0.64428627
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,CO2 removal,dac,lowtemp DAC heatpump,2100,0.5517126216006
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2040,0.728774
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2045,1.6635049999999998
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2050,2.373513
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2055,2.701193
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2060,2.627383
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2065,2.284925
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2070,1.8857194
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2075,1.4454532000000002
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2080,1.00353455
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2085,0.7612186400000001
