Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,1975,0.000192821
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,1990,0.0007067783
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2005,0.00283354
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2010,0.0063586671
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2015,0.011231671
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2021,0.024059346000000002
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2025,0.0300916301
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2030,0.0347007948
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2035,0.0410991988
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2040,0.04832844692
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2045,0.04840949991
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2050,0.046196276
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2055,0.04919209675
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2060,0.05350316009
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2065,0.05321159896
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2070,0.05062531932
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2075,0.04949331717
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,Corn,biomass,2080,0.0478204177
