Units,scenario,region,sector,subsector,technology,Year,value
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2030,6379.52
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2035,45562.3
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2040,152183.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2045,258202.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2050,388355.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2055,475902.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2060,575734.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2065,672562.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2070,758081.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2075,846810.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2080,927412.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2085,997849.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2090,1050090.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2095,1080230.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,BEV,2100,1091080.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2030,7510.22
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2035,48639.7
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2040,145734.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2045,223310.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2050,304202.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2055,373488.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2060,452654.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2065,529680.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2070,597594.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2075,667953.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2080,732114.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2085,788494.0
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road,Bus,FCEV,2090,830567.0
