Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,1975,0.000683078
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,1990,0.00106375
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2005,0.00247004
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2010,0.0037238
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2015,0.0037238
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2021,0.0037238
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2025,0.004471368
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2030,0.006557482
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2035,0.009351846
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2040,0.00683094728
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2045,0.00353758214
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2050,0.00118923353
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2055,0.000395001502
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2060,8.303722092e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2065,1.347317542e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2070,1.751585071e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2075,1.2598261e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2080,2.791188e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2085,5.52043e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2090,2.58377e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,elect_td_ind,2095,1.19914e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2040,0.00155242
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2045,0.00696784
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2050,0.01256955
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2055,0.017292309999999998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2060,0.02236822
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,elect_td_ind,2065,0.028122666
