Units,scenario,region,sector,subsector,technology,output,Year,value
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,1975,1.608
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,1990,2.50413
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2005,6.07188
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2010,9.15387
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2015,9.15387
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2021,9.15387
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2025,10.636470000000001
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2030,14.76086
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2035,20.167299999999997
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2040,14.5360586
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2045,7.33809329
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2050,2.416997473
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2055,0.7959353938
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2060,0.166074047
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2065,0.026946251640000002
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2070,0.0035031702100000004
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2075,2.5196522e-05
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2080,5.712332e-06
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2085,1.8179039000000002e-06
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2090,7.341255e-07
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2095,3.0584578000000005e-07
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,cement,2100,1.31564405e-07
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2040,3.10485
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2045,13.935640000000001
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2050,25.139139999999998
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2055,34.58461
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2060,44.736450000000005
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2065,56.245321000000004
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2070,69.476028
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2075,83.4400279
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2080,95.74861
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2085,105.491797
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2090,113.269428
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2095,119.412097
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,cement,2100,123.669776
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,cement,1975,8.44232
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,cement,1990,33.1879
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,cement,2005,72.1022
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,cement,2010,98.0265
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,cement,2015,98.0265
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,cement,2021,98.0265
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,cement,2025,100.73202
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,cement,2030,109.3031
