Units,scenario,region,sector,subsector,technology,GHG,Year,value
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,1975,0.192
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,1990,0.299
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2005,0.725
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2010,1.093
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2015,1.093
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2021,1.093
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2025,1.2709549999999998
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2030,1.766029
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2035,2.415387
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2040,1.74152623
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2045,0.87972771
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2050,0.2899161843
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2055,0.09549314785999999
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2060,0.01992890302
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2065,0.003233556184
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2070,0.00042038141100000004
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2075,3.0235835e-06
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2080,6.854798e-07
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2085,2.1814761e-07
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2090,8.809499000000001e-08
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2095,3.6701547999999995e-08
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement,CO2,2100,1.578769e-08
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2040,0.0372582
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2045,0.16722810000000002
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2050,0.3016694
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2055,0.41501540000000003
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2060,0.5368368
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2065,0.67494418
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2070,0.83371195
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2075,1.0012817520000001
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2080,1.14898294
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2085,1.26590188
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2090,1.35923419
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2095,1.43294432
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,cement,cement,cement CCS,CO2,2100,1.48403785
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,1975,1.06
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,1990,4.167
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2005,9.053
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2010,12.308
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2015,12.308
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2021,12.308
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2025,12.628459
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2030,13.641668
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2035,14.546016
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2040,9.35633124
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2045,3.74655913
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2050,1.177638763
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2055,0.4124244329
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2060,0.08907780931
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2065,0.01531062112
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2070,0.0020432232399999997
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2075,1.4655162000000001e-05
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2080,2.7296042e-06
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2085,6.175736e-07
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2090,2.0224389000000002e-07
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2095,6.493475e-08
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement,CO2,2100,2.0767282e-08
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2040,0.0708569
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2045,0.5884522
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2050,0.8650291
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2055,0.9687869
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2060,1.0225309
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2065,1.0428258000000001
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2070,1.0494989000000001
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2075,1.0490245150000002
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2080,1.04332197
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2085,1.03178666
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2090,1.01537438
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2095,0.99458703
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,cement,cement,cement CCS,CO2,2100,0.96806268
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,cement,cement,cement,CO2,1975,0.329
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,cement,cement,cement,CO2,1990,0.286
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,cement,cement,cement,CO2,2005,0.596
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,cement,cement,cement,CO2,2010,0.745
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,cement,cement,cement,CO2,2015,0.745
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,cement,cement,cement,CO2,2021,0.745
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,cement,cement,cement,CO2,2025,0.8134330000000001
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,cement,cement,cement,CO2,2030,1.0826309
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,cement,cement,cement,CO2,2035,1.4456739
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,cement,cement,cement,CO2,2040,1.04606139
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,cement,cement,cement,CO2,2045,0.531207035
