Units,scenario,region,sector,subsector,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2005,0.0200504
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2010,0.0469695
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2015,0.061242
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2021,0.0656834
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2025,1.12542
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2030,1.31169
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2035,1.39241
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2040,1.10909
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2045,0.211877
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2050,0.0323069
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2055,0.0104541
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2060,0.00421203
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2065,0.00240738
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2070,0.00122926
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2075,0.000618271
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2080,0.000332488
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2085,0.000209044
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2090,0.000132045
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2095,7.71181e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,delivered biomass,2100,4.1946e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,1990,0.622292
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2005,0.094392
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2010,0.283617
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2015,0.372559
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2021,0.291326
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2025,4.2206
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2030,4.69676
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2035,4.93911
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2040,0.432847
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2045,0.0994015
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2050,0.0164645
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2055,0.00547259
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2060,0.00225444
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2065,0.00128782
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2070,0.000659254
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2075,0.00033581
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2080,0.00018349
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2085,0.000117054
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2090,7.49918e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2095,4.43495e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,delivered coal,2100,2.4491e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,gas,wholesale gas,1990,0.00912552
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,1990,0.150236
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,refined liquids industrial,2005,0.121265
