Units,scenario,region,sector,subsector,output,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2005,0.0160403
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2010,0.0375756
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2015,0.0489936
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2021,0.0525467
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2025,0.900334
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2030,1.04935
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2035,1.11393
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2040,0.887268
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2045,0.169502
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2050,0.0258455
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2055,0.00836328
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2060,0.00336962
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2065,0.00192591
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2070,0.000983411
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2075,0.000494617
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2080,0.00026599
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2085,0.000167235
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2090,0.000105636
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2095,6.16944e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,biomass,district heat,2100,3.35568e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,1990,0.497834
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2005,0.0755136
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2010,0.226894
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2015,0.298047
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2021,0.233061
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2025,3.37648
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2030,3.75741
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2035,3.95129
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2040,0.346278
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2045,0.0795212
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2050,0.0131716
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2055,0.00437808
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2060,0.00180355
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2065,0.00103026
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2070,0.000527403
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2075,0.000268648
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2080,0.000146792
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2085,9.36431e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2090,5.99934e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2095,3.54796e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,coal,district heat,2100,1.95928e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,gas,district heat,1990,0.00730041
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,district heat,1990,0.120189
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,district heat,2005,0.0970124
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,district heat,2010,0.193069
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,district heat,2015,0.157128
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",China,district heat,refined liquids,district heat,2021,0.216483
