Units,scenario,region,sector,subsector,technology,output,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,1975,0.00147401
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,1990,0.014303
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2005,0.0324951
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2010,0.0540781
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2015,0.0824853
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2021,0.114291
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2025,0.192224
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2030,0.279568
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2035,0.39098
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2040,0.905095
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2045,1.21948
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2050,1.58736
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2055,2.04361
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2060,2.59379
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2065,3.30492
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2070,4.15479
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2075,5.13695
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2080,6.17609
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2085,7.23608
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2090,8.27594
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2095,9.28443
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,elect_td_bld,elect_td_bld,elect_td_bld,2100,10.2333
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2025,0.00916646
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2030,0.0215174
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2035,0.0454264
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2040,0.103103
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2045,0.17275
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2050,0.261339
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2055,0.369443
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2060,0.512328
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2065,0.677059
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2070,0.860265
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2075,1.05248
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2080,1.26195
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2085,1.44879
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2090,1.62581
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2095,1.76775
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,elect_td_bld,2100,1.93326
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,electricity,biomass,biomass (IGCC CCS),electricity,2040,0.00617479
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,electricity,biomass,biomass (IGCC CCS),electricity,2045,0.0215261
