Units,scenario,region,sector,subsector,technology,Year,value
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2040,0.00683285
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2045,0.01047823
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2050,0.021745
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2055,0.03110305
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2060,0.03744623
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2065,0.0433031
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2070,0.047131064
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2075,0.045681963
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2080,0.0404021512
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2085,0.029487910200000002
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2090,0.02429208496
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2095,0.02042158409
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),2100,0.019311247115000003
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),2045,5.57644e-05
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),2050,0.001297388
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),2055,0.0023089047000000003
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),2060,0.0029938717
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),2065,0.0041018453
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),2070,0.00468387304
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),2075,0.00483659372
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),2080,0.0050840586980000005
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),2085,0.0038733482580000003
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),2090,0.0031158724376
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),2095,0.0024049709434999997
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),2100,0.00152075698651
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (recirculating),2040,0.0421928
