Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2030,4.06161e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2035,7.834991e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2040,0.00469525231
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2045,0.02215118621
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2050,0.0443975526
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2055,0.06243775
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2060,0.07789921
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2065,0.09154898
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2070,0.10601490999999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2075,0.12222764
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2080,0.13979190000000002
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2085,0.1583099
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2090,0.17773509999999998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2095,0.1980401
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,elect_td_trn,2100,0.21823759999999998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2030,1.22562e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2035,0.00014502676
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2040,0.00396424612
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2045,0.01254362893
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2050,0.0199561871
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2055,0.02647591
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2060,0.03293418
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2065,0.04003296
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2070,0.04848909999999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2075,0.05770317
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2080,0.0677682
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2085,0.07873764
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2090,0.09078696
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2095,0.10430127
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2100,0.11827849
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2025,0.00313461
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2030,0.01549229
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2035,0.0285878
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2040,0.03276557
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2045,0.023029479999999998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2050,0.011967888000000001
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2055,0.0042029392
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2060,0.00048705787000000004
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2065,5.470031e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2070,1.717668e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2075,5.2464080000000005e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2080,1.6502772e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2085,3.83166295e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2090,4.4720717e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2095,3.547587e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Hybrid Liquids,refined liquids enduse,2100,1.63638e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Liquids,refined liquids enduse,1990,0.0120612
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Liquids,refined liquids enduse,2005,0.017418
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Liquids,refined liquids enduse,2010,0.0260116
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Liquids,refined liquids enduse,2015,0.0380486
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Liquids,refined liquids enduse,2021,0.0507097
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,Liquids,refined liquids enduse,2025,0.053715799999999994
