Units,scenario,region,sector,subsector,technology,Year,value
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2030,4.17346
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2035,82.74999
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2040,5107.04393
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2045,24690.74307
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2050,50456.0122
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2055,71626.98
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2060,90057.78
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2065,106618.75
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2070,124246.07
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2075,144136.8
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2080,165876.3
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2085,189015.5
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2090,213528.2
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2095,239407.59999999998
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,BEV,2100,264754.4
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,2030,8.95423
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,2035,108.88942999999999
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,2040,3076.21411
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,2045,10005.53918
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,2050,16346.944800000001
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,2055,22013.921000000002
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,2060,27701.199999999997
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,2065,33976.02
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,2070,41409.35
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight_road,Heavy truck,FCEV,2075,49580.36
