Units,scenario,region,sector,subsector,technology,fuel,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2010,0.000172279
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2015,0.00197396
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2021,0.00217149
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2025,0.00404753
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2030,0.00976032
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2035,0.0196984
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2040,0.0145356
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2045,0.00406249
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2050,0.00151399
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2055,0.00108257
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2060,0.000453054
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2065,0.000188213
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2070,7.06278e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2075,1.74735e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2080,5.62582e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2085,1.4879e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2090,4.14148e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,regional biomass,2095,7.74447e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2025,1.39764e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2030,6.83414e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2035,2.14519e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2040,2.77765e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2045,1.07076e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2050,5.55384e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2055,5.21343e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2060,2.83269e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2065,1.42333e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2070,6.61977e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,regional coal,2075,2.15482e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2010,0.000101292
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2015,0.000222696
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2021,0.0021259
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,natural gas,natural gas,regional natural gas,2025,0.000432851
