Units,scenario,region,sector,subsector,technology,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2010,0.000128279
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2015,0.00146982
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2021,0.00161689
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2025,0.00301379
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2030,0.00730964
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2035,0.0148384
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2040,0.0110135
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2045,0.00309626
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2050,0.00116074
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2055,0.000834931
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2060,0.000351513
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2065,0.000146912
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2070,5.54639e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2075,1.38057e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2080,4.47227e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2085,1.19013e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2090,3.33327e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,biomass gasification,biomass gasification,2095,6.27218e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2025,1.05403e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2030,5.18392e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2035,1.63672e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2040,2.13173e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2045,8.26628e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,gas processing,coal gasification,coal gasification,2050,4.3131e-09
