Units,scenario,region,sector,subsector,technology,fuel,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2025,7.7035e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2030,6.0552852e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2035,2.34211248e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2040,1.80642489e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2045,3.304217e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,elect_td_ind,2050,2.13686e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2025,5.76187e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2030,0.00045315154
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2035,0.0017534674700000002
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2040,1.3524202300000002e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2045,2.51029847e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2050,2.1342077e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2055,6.5203290000000005e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2060,1.890272e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2065,5.5937e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional biomass,2070,1.33994e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2025,1.04427e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2030,7.2113168e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2035,2.5247545399999998e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,regional natural gas,2040,1.94452945e-07
