Units,scenario,region,sector,subsector,technology,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2025,2.66301e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2030,0.00021088284
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2035,0.00082040918
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2040,6.3281702e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2045,1.1748034900000001e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2050,9.995544000000001e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2055,2.955284e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2060,8.8465e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2,2065,2.1134e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2040,0.0151869
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2045,0.0348158
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2050,0.050021899999999994
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2055,0.05716
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2060,0.055866849999999996
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2065,0.04899995
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2070,0.040829914
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2075,0.031554683
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2080,0.022123093
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2085,0.0168842148
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2090,0.015924635399999998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2095,0.0125392974
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2100,0.01174651388
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2040,0.00253188
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2045,0.00602255
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2050,0.007302573
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2055,0.005957495
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2060,0.005128339
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2065,0.0044138536999999995
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2070,0.0040500559
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2075,0.00361032712
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2080,0.00298563218
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2085,0.00298092419
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2090,0.00311478209
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2095,0.00263374952
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,coal,coal chemical CCS,2100,0.002660714163
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2025,5.63684e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2030,4.3033131709999996e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2035,0.00012657293244
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2040,0.0008517839175599999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2045,0.0023122380141699997
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2050,0.00403530322787
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2055,0.00342407304641
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2060,0.00407307733967
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2065,0.0054734608379999996
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2070,0.006857542268
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2075,0.00777146984
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2080,0.0089592043
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2085,0.010179948999999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2090,0.011562253699999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2095,0.0127860222
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,electricity,electrolysis,2100,0.013490896
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2040,0.011684
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2045,0.031804269999999996
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2050,0.04563066
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2055,0.043313449999999996
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2060,0.04330933
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2065,0.04030849
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2070,0.037477822
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2075,0.035734097
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2080,0.028876205999999998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2085,0.026432609
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2090,0.025596278
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2095,0.021823733999999997
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,gas ATR CCS,2100,0.0212947135
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,natural gas steam reforming,2025,4.42999e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,natural gas steam reforming,2030,0.0017099321
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,H2 central production,gas,natural gas steam reforming,2035,0.006351112599999999
