Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2030,0.00273067
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2035,0.00606955
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2040,0.01158458
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2045,0.024088635
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2050,0.033372444
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2055,0.045322326
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2060,0.05831741
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2065,0.07198121
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2070,0.08708299
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2075,0.10328857
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2080,0.11967452
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2085,0.13559974
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2090,0.15083595
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2095,0.1650438
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn,2100,0.17830838
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2030,0.000208076
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2035,0.000459656
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2040,0.000953822
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2045,0.002438954
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2050,0.0041581748
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2055,0.0065060522
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2060,0.009204378999999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2065,0.01219844
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2070,0.015622156000000002
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2075,0.019345224
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2080,0.023360417
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2085,0.027579613
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2090,0.03197152
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2095,0.03658155
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,H2 retail dispensing,2100,0.04082781
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2025,0.00275751
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2030,0.01316113
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2035,0.025735269999999998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2040,0.026896556
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2045,0.023160157
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2050,0.01584301
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2055,0.00921205
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2060,0.00444129
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2065,0.0023077650000000003
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2070,0.001230253
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2075,0.0007363871
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2080,0.000391843
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2085,0.00018714095999999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2090,7.4015052e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2095,2.1814280100000002e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse,2100,5.22315925e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,1975,0.0141075
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,1990,0.0271876
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2005,0.0392619
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2010,0.0586331
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2015,0.0857657
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2021,0.114305
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2025,0.1190864
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2030,0.1148654
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2035,0.1093346
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2040,0.08154802
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2045,0.04894146
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2050,0.02932965
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2055,0.014576502
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2060,0.005099648
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2065,0.002003013
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2070,0.0008045658
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2075,0.0004124396
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2080,0.00018889198000000002
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2085,7.9213307e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2090,2.66756029e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2095,6.10014228e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse,2100,1.079980083e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Large Car and Truck,BEV,elect_td_trn,2030,0.00229142
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Large Car and Truck,BEV,elect_td_trn,2035,0.00579349
