Units,scenario,region,sector,subsector,technology,Year,value
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2030,6400.21
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2035,14057.550000000001
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2040,26331.019999999997
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2045,53570.36
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2050,72900.12
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2055,97945.58
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2060,125423.73999999999
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2065,154567.47
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2070,186995.8
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2075,222010.88
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2080,257484.36
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2085,292035.5
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2090,325173.30000000005
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2095,356159.7
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,BEV,2100,385030.1
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,2030,332.511
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,2035,732.394
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,2040,1507.2830000000001
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,2045,3820.685
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,2050,6456.3019
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,2055,10065.4115
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,2060,14226.813
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,2065,18860.319
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,2070,24174.379
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,2075,29970.884
million pass-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV_4W,Car,FCEV,2080,36234.76
