Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,1975,0.00335503
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,1990,0.002867
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2005,0.00625995
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2010,0.00959326
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2015,0.00963391
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2021,0.00965322
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2025,0.01241123
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2030,0.02052269
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2035,0.03192981
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2040,0.029024993
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2045,0.02671344
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2050,0.017375652999999998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2055,0.0084266599
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2060,0.00308548449
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2065,0.0012396859899999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2070,0.00065970257
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2075,0.0004029027643
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2080,0.00023602243200000002
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2085,0.0001407371411
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2090,9.023286949e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2095,5.829393296e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,biomass,biomass,delivered biomass,2100,3.6460477418e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,coal,coal,delivered coal,1975,0.000763908
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,coal,coal,delivered coal,1990,0.0024454
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,coal,coal,delivered coal,2005,0.00533944
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,coal,coal,delivered coal,2010,0.00814852
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,coal,coal,delivered coal,2015,0.00813065
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,coal,coal,delivered coal,2021,0.00812217
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,coal,coal,delivered coal,2025,0.00998062
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,coal,coal,delivered coal,2030,0.014389309999999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,coal,coal,delivered coal,2035,0.01980138
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,coal,coal,delivered coal,2040,0.0165869168
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,process heat cement,coal,coal,delivered coal,2045,0.0110479788
