Units,scenario,region,sector,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2025,0.15611733096160002
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2030,0.27912144931599997
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2035,0.3852832724312
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2040,0.4523280187593
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2045,0.4126268162204
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2050,0.356129781351
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2055,0.3039292907461
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2060,0.26055751325230003
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2065,0.206791245024
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2070,0.1553520962409
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2075,0.1174770966231
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2080,0.0885260402608
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2085,0.0669972137751
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2090,0.0518262755507
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2095,0.0359772409997
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,biomass,2100,0.0290083202055
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2025,0.001597789777441
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2030,0.003844655723112
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2035,0.0069493115458400005
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2040,0.05310951391774
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2045,0.0577415291446
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2050,0.0517268554933
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2055,0.0427694462796
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2060,0.038505214477800004
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2065,0.0297162924173
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2070,0.0170131661344
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2075,0.0112347802114
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2080,0.0080231724027
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2085,0.0058968569366
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2090,0.00418010943721
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2095,0.0024793656148999997
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,biomass,2100,0.0023558949017
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,biomass,2025,0.0831351289134
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,biomass,2030,0.1608838203462
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,biomass,2035,0.2401777425749
