Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2030,5.99966e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2035,0.000253547
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2040,0.000529113
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2045,0.000626837
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2050,0.000713688
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2055,0.000866981
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2060,0.0010609
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2065,0.00128227
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2070,0.00155519
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2075,0.00193585
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2080,0.00240819
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2085,0.00297023
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2090,0.00358397
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2095,0.00421346
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,elect_td_trn,2100,0.00491869
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Coal,delivered coal,1975,0.000920878
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2005,5.49996e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2021,2.09998e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2025,2.54826e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2030,2.68285e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2035,1.98733e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2040,1.52496e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2045,1.37757e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2050,1.48317e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2055,1.80079e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2060,2.20266e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2065,2.66065e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2070,3.22316e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2075,4.00572e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2080,4.97724e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2085,6.13838e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2090,7.40626e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2095,8.7025e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,elect_td_trn,2100,0.000101557
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2030,6.5291e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2035,0.000282278
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2040,0.000576016
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2045,0.000686867
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2050,0.000799726
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2055,0.000981554
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2060,0.00121292
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2065,0.00147954
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2070,0.00180397
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2075,0.00225365
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2080,0.00281619
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2085,0.00349221
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2090,0.0042359
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2095,0.00501169
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2100,0.00587427
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2030,0.000134969
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2035,0.000566957
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2040,0.000820841
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2045,0.0006836
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2050,0.000555006
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2055,0.000562297
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2060,0.000558936
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2065,0.000575658
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2070,0.000573697
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2075,0.000515305
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2080,0.000435524
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2085,0.000337675
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2090,0.000244277
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2095,0.000166477
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2100,0.000104245
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,1975,0.000372191
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,1990,0.000717386
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2005,0.00103599
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2010,0.00154709
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2015,0.00226299
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2021,0.00301608
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2025,0.0032665
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2030,0.00335879
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2035,0.00248282
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2040,0.00120117
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2045,0.000702777
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2050,0.000499641
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2055,0.000484017
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2060,0.000456981
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2065,0.000452472
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2070,0.000429777
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2075,0.000356274
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2080,0.000273665
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2085,0.000188973
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2090,0.000120317
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2095,7.15883e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Liquids,refined liquids enduse,2100,3.83729e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,trn_freight,Freight Rail,BEV,elect_td_trn,2030,0.000257109
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,trn_freight,Freight Rail,BEV,elect_td_trn,2035,0.00119663
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,trn_freight,Freight Rail,BEV,elect_td_trn,2040,0.00262466
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,trn_freight,Freight Rail,BEV,elect_td_trn,2045,0.00314958
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,trn_freight,Freight Rail,BEV,elect_td_trn,2050,0.00348722
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,trn_freight,Freight Rail,BEV,elect_td_trn,2055,0.00408539
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,trn_freight,Freight Rail,BEV,elect_td_trn,2060,0.00479926
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,trn_freight,Freight Rail,BEV,elect_td_trn,2065,0.00552485
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,trn_freight,Freight Rail,BEV,elect_td_trn,2070,0.00641651
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,trn_freight,Freight Rail,BEV,elect_td_trn,2075,0.00752716
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,trn_freight,Freight Rail,BEV,elect_td_trn,2080,0.00878853
