Units,scenario,region,sector,subsector,technology,Year,value
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2030,328.38
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2035,1389.48
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2040,2903.25
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2045,3443.76
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2050,3925.82
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2055,4775.01
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2060,5850.35
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2065,7079.95
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2070,8597.61
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2075,10715.4
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2080,13346.6
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2085,16482.1
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2090,19912.7
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2095,23439.5
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,BEV,2100,27362.6
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Coal,1975,768.291
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,2005,44.8732
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,2021,172.021
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,2025,208.95
million ton-km,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_freight,Freight Rail,Electric,2030,220.261
