Units,scenario,region,sector,subsector,technology,output,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2030,0.000108135
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2035,0.000207692
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2060,3.77485e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2065,2.58139e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2070,1.02264e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2075,4.37162e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2080,2.58019e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2085,2.50909e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2090,2.9179e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2095,1.68658e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,2100,5.44223e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2025,0.000593682
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2030,0.002941019
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2035,0.007227087
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2040,0.0003533171
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2045,4.2254679999999996e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2050,7.598812e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2055,4.335836e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2060,2.11950714e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2065,8.99723e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels,refining,2070,1.14082e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2060,0.00438937
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2065,0.00680055
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2070,0.002452232
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2075,0.0014429870000000002
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2080,0.0011390783
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2085,0.0014276907
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2090,0.0011190965
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2095,0.00044054179999999997
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,refining,2100,0.00012393749
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 2,refining,2060,0.018998
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 2,refining,2065,0.0344871
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 2,refining,2070,0.04220785
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 2,refining,2075,0.046066590000000004
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 2,refining,2080,0.04793494
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 2,refining,2085,0.04869095
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 2,refining,2090,0.04723984
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 2,refining,2095,0.040006
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 2,refining,2100,0.026558105
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,refining,biomass liquids,biodiesel,refining,2025,1.67603e-09
