Units,scenario,region,sector,subsector,technology,Year,value
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2021,0.00110017
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2025,0.030467815999999998
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2030,0.129101802
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2035,0.333808962
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2040,0.27474772000000003
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2045,0.12337768
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2050,0.02186526
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2055,0.0040921840000000004
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2060,0.002322694
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2065,0.0016552357
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2070,0.0011319385900000001
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2075,0.00074992198
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2080,0.00049582725
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2085,0.00031551993099999997
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2090,0.000199845562
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2095,0.0001231324241
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,2100,7.230738449999999e-05
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2040,0.0264351
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2045,0.0735558
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2050,0.136962
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2055,0.21036111000000002
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2060,0.29119668
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2065,0.37401419999999996
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2070,0.4420011
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2075,0.487624
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2080,0.5153269
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2085,0.522481
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2090,0.5145891
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2095,0.4927333
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2100,0.45288090000000003
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2030,0.00336687
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2035,0.01245491
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2040,0.012923170000000001
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2045,0.008090183
MTC,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,2050,0.002909668
