Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2021,4.02821e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2025,0.0011155642
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2030,0.0047269918
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2035,0.01222219729
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2040,0.010059699
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2045,0.004517401
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2050,0.0008005824
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2055,0.0001498327
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2060,8.504393999999999e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2065,6.0605429e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2070,4.1445080999999995e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2075,2.7457958000000002e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2080,1.8154440499999998e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2085,1.15525424e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2090,7.31720213e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2095,4.508429740000001e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,delivered coal,2100,2.6474921200000003e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2021,6.33862e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2025,0.00017553984
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2030,0.00074381923
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2035,0.00192323023
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2040,0.0015829481999999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2045,0.0007108382000000001
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2050,0.00012597633
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2055,2.3577049999999998e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2060,1.3382176e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2065,9.536606999999999e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2070,6.5216325e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2075,4.3206576e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,2080,2.85669716e-06
