Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2030,0.00283556
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2035,0.00323742
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2040,0.00636556
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2045,0.00689984
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2050,0.00722394
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2055,0.0075913
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2060,0.00774547
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2065,0.0076609
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2070,0.00749599
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2075,0.00718342
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2080,0.00675987
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2085,0.00627207
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2090,0.00577016
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2095,0.00527632
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn,2100,0.00481463
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,1975,0.00103166
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,1990,0.00198813
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,2005,0.002871
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,2010,0.00428755
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,2015,0.00627168
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,2021,0.00835861
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,2025,0.00881102
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,2030,0.00408222
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,2035,0.00475585
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,2040,0.000292126
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,2045,1.43486e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,2050,9.73172e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse,2055,2.15086e-07
